Samples	Myc1	Myc2	Myc3	Myc4	Myc5	Myc6	Myc7	Ras1	Ras2	Ras3	Ras4	Ras5	Ras6	Ras7
Factors	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor
HMDB00736	0.712848	1.153043	0.643066	0.760121	0.911545	0.69168	1.066357	0.918405	1.4125	1.83932	1.210092	1.948387	1.537052	1.326597
HMDB00172	1.24133	1.512782	1.452081	1.283796	1.254923	1.345478	1.734439	0.589463	0.986004	0.749991	0.715685	0.910231	0.933184	0.809081
HMDB00688	0.890801	1.581883	1.019958	1.325001	0.945335	0.630409	0.748479	3.236466	8.555667	1.568211	4.717542	2.916382	1.744161	2.64837
HMDB00678	1.631308	0.518146	0.518146	0.619886	1	1.35715	0.604079	1.475009	5.164763	0.518146	1.013518	1.211936	0.518146	0.518146
HMDB00684	0.284964	1	0.284964	0.284964	0.284964	0.289641	0.767026	0.742221	2.803719	0.416691	2.024852	2.707884	0.989221	0.957301
HMDB00190	0.937416	0.862622	1.205795	0.995211	1.233375	0.999854	1.323616	0.934826	1.077111	1.007508	0.763632	0.798512	1.000146	0.958802
HMDB02250	0.362495	0.362495	1.275993	0.899993	1.204496	1.434682	1.049741	4.890461	0.663631	0.362495	0.362495	0.362495	0.789535	1.131191
HMDB00687	1.240681	1.454496	1.459446	1.653881	1.282508	1.320844	1.591034	0.443522	0.885318	0.628783	0.636675	0.809114	0.882897	0.741113
HMDB00673	0.798423	1.30407	0.955722	0.873722	1.255822	0.922853	0.859352	0.739276	0.805999	0.618718	0.704295	0.519475	0.797827	0.871897
HMDB01388	0.829051	1.970969	0.873663	0.798671	1.274928	1.199618	1.320169	0.2033	0.258604	0.219208	0.333691	0.231514	0.538806	0.372673
HMDB00182	0.952223	1.197205	1.102086	1.123133	1.022527	1.072161	1.280725	0.656313	1.049148	0.573826	0.71481	0.696693	0.782747	0.664868
HMDB00156	1.242337	1.328019	1.876489	1.114201	1.594226	1.011537	1.289675	0.456024	0.527432	0.781277	0.544277	0.384952	0.951924	0.549555
HMDB02095	0.755615	0.682701	0.543291	0.49701	0.606419	0.964151	1.029173	0.313281	0.384047	0.313281	0.313281	0.451865	0.313281	0.313281
HMDB12253	0.138784	0.138784	0.352444	0.138784	1.591526	0.138784	0.138784	0.138784	0.138784	0.138784	0.138784	0.138784	0.212144	0.138784
HMDB12254	0.218155	0.218155	0.615744	0.301127	2.67059	0.218155	0.218155	0.218155	0.218155	0.218155	0.218155	0.218155	0.753366	0.218155
HMDB00163	0.169364	0.052844	0.849872	0.568162	1.339719	0.112849	0.039946	0.072317	0.004941	0.642323	0.689643	2.132279	1.563484	0.890247
HMDB01296	0.043446	0.098905	1.537382	0.87988	5.548777	0.043446	0.043446	0.043446	0.043446	0.33294	0.29886	1	4.464006	0.231289
HMDB01262	0.068953	0.010938	1.250165	0.808971	2.981723	0.044163	0.010938	0.012255	0.010938	0.38685	0.387022	1.213224	2.681683	0.272312
HMDB00765	1.415108	0.370642	0.631212	0.85523	0.370642	1.630841	1.164345	6.239804	3.31575	0.370642	0.370642	0.370642	0.370642	0.789623
HMDB00169	0.608149	0.723495	1.209992	1.009262	1.440796	0.438573	0.396303	0.188388	0.484582	0.48203	0.876081	0.942296	0.990738	0.531387
HMDB01078	2.789771	0.864661	2.290843	4.40924	3.484024	1.868425	1.621573	2.328638	0.388927	2.69179	1.34462	1	1.514396	3.412215
HMDB02259	0.757452	1.047991	0.972858	0.805596	1.13469	0.464807	0.708163	0.951444	0.846514	0.865356	0.938816	0.760661	0.799609	0.716847
HMDB00696	1.462615	1.660123	1.357108	1.572899	1.125479	1.748666	2.024638	0.444297	0.722447	0.575356	0.732666	0.751096	0.913246	0.747239
HMDB00552	0.108677	1.754732	0.175505	0.148165	0.408936	0.524058	1.005225	1.315252	2.120397	0.994775	1.009639	0.436954	1.117087	0.443346
HMDB0061711	0.781132	0.87775	0.960459	0.86184	1.085432	0.738199	1.004314	0.93282	0.799556	0.945316	1.002289	0.680671	0.917422	0.997711
HMDB00211	1.834766	1.690457	1.657917	1.941108	1.414939	2.066843	2.111418	0.337481	1.057829	0.429185	0.710278	2.040447	1.294099	1.205473
HMDB00806	1.100168	1.111268	1.009185	0.990815	0.860918	0.8969	0.89834	0.829473	1.048063	0.904811	1.113904	0.872291	1.145658	1.184036
HMDB02000	0.819168	0.54721	1.502363	0.481954	0.653317	0.9661	0.790942	1.380948	0.902812	0.627018	1.134441	0.580381	1.066512	1.102981
HMDB00766	1.342801	1.328046	1.348974	1.255636	0.902876	1.313433	1.547733	0.770192	1.0434	0.668642	0.826005	0.668223	0.765296	0.952188
HMDB06028	0.351679	0.577536	0.351679	0.395784	0.351679	0.351679	0.351679	0.542035	1.094839	0.91294	0.351679	0.82927	0.746089	0.351679
HMDB02817	1.439854	0.751249	1.986775	2.238648	2.093549	0.567983	1	1.748187	0.855902	1.185094	2.31953	1.816831	1.908008	4.260765
HMDB01138	0.332419	0.332419	0.332419	0.332419	0.332419	0.332419	0.332419	0.332419	0.908598	0.332419	1.015098	0.347655	0.494654	0.332419
HMDB06029	0.126759	0.215492	0.126759	0.126759	0.126759	0.126759	0.126759	0.157749	0.308602	0.409001	0.126759	0.449212	0.669351	0.17482
HMDB00532	1.057249	1.562684	1.60775	1.704524	0.597961	1.487791	1.404588	0.574165	1.306458	0.760111	0.761494	0.900988	0.90191	0.774726
HMDB11745	0.645573	0.853404	1.000513	1.139636	0.821467	2.224694	2.139934	0.479956	1.224477	0.999487	0.681727	0.497513	1.62574	0.971892
HMDB03357	0.566933	0.521373	1.069876	0.878746	1.508886	0.807708	0.573343	0.497628	0.845334	1.168882	1.69907	2.255351	1.616454	1.464134
HMDB02931	1	0.95708	1.136021	1.189225	1.045756	0.940787	0.992506	1.945225	1.133567	1.484088	1.372429	0.972983	1.16226	1.751473
HMDB0062557	1.633418	1.701232	1.008001	1.125086	0.691173	1.383943	1.895926	0.811727	1.21872	0.561512	0.943387	0.636251	0.692126	1.012779
HMDB0062659	1.097772	0.996264	0.723599	0.945546	1.023969	1.218501	1.037531	0.727477	0.723599	0.723599	0.949827	0.744051	0.904839	0.825544
HMDB00833	0.514264	0.612742	0.551983	0.60554	0.400551	0.696088	0.463963	1.677421	2.245845	1.577797	1.824988	0.824704	1.136041	1.609767
HMDB03331	1.843776	1.521249	1.970708	2.119628	1.826675	1.607788	2.151818	0.985998	2.027528	0.415246	0.625475	0.510571	0.407752	0.529347
HMDB00446	0.630926	0.447175	0.621599	1.259667	0.942937	0.580594	0.748378	0.329734	1	0.557937	1.384846	1.002776	0.532351	0.496424
HMDB00206	0.845503	1.38389	1.286113	1.335871	1.079933	1.259942	1.434914	0.731074	0.886342	0.666294	0.659968	0.54848	0.519271	0.510134
HMDB01406	0.747878	0.928404	0.644258	0.874853	0.814289	0.760409	0.795773	0.515762	0.781991	0.636794	0.834717	1.093272	0.980179	0.705417
HMDB00902	0.577215	0.832409	0.565615	0.655455	0.487076	0.733195	0.512586	0.549641	0.928275	0.448172	1.501949	1.085954	0.784862	0.436276
HMDB00772	1.281688	1.024813	0.847399	0.439349	0.620219	0.982727	0.818139	0.659544	0.748173	0.699453	0.843218	0.87284	1.017273	0.817281
HMDB00207	1.010097	1.214305	1.278994	1.107196	1.067575	0.989903	0.93636	0.728174	0.668952	0.674713	0.575264	0.512399	0.873527	0.813346
HMDB05065	1.049105	0.306789	1.060614	1.102755	1.20237	0.240948	0.242371	21.002045	1.338916	1.294924	0.749138	0.253687	0.217082	2.324675
HMDB05765	0.018789	0.018789	0.018789	0.018789	0.018789	0.018789	0.018789	1.006612	0.660812	3.6929	0.274294	0.123598	1.289708	1.503842
HMDB03374	1.015293	1.31257	1.034512	1.152415	0.77551	0.757916	1.015519	0.66775	1.362511	0.820682	0.80812	0.810016	0.65777	0.855446
HMDB00226	0.553974	0.471827	0.279425	0.473741	0.279425	0.745574	0.42846	1.06272	1	1.74448	1.581261	0.657243	1.432261	1.324388
HMDB0002329	1.253525	1.896179	2.205648	1.53054	2.337542	2.059565	2.010514	1.166042	0.668383	0.960225	2.046115	0.772866	0.668383	0.729094
HMDB0011635	0.751751	1	0.751751	0.751751	0.751751	0.751751	0.751751	83.629463	0.751751	0.80082	2.556622	1.234222	0.751751	0.751751
HMDB00220	0.823579	1.181457	0.924203	0.883079	0.822088	0.957524	0.841945	1.014428	0.866581	0.849269	0.789337	0.763147	0.984738	0.992277
HMDB03229	1.066729	1.467466	0.974385	1.151179	0.851024	1.137501	1.155764	0.519539	0.549946	0.598987	0.572413	0.544564	0.848998	0.738712
HMDB0010169	3.708935	2.596834	2.690322	2.7413	1.953692	4.17935	4.389297	1.169814	0.790159	0.897127	0.894353	0.976744	0.933811	1.164396
HMDB00222	1.721551	0.518474	2.462687	2.690895	2.901921	1.419028	1.388462	30.936981	3.64232	3.978018	2.5385	1.267773	0.49118	4.729971
HMDB00210	1.412368	1.08523	0.888109	1.40034	1.294551	1.193052	1.208737	1.737869	1.366832	0.585651	0.842239	1.386949	0.773785	0.644939
HMDB00826	0.849799	1.029299	0.516401	1	0.578882	1.121935	0.829528	1.174606	0.777015	0.906414	0.658403	0.754653	0.776291	0.915592
HMDB0060015	0.524667	0.377561	0.316655	0.376306	0.316655	0.316655	0.316655	21.68433	9.4409	1.458817	1.579581	1.575249	1	0.316655
HMDB00821	0.824181	0.824181	0.824181	0.824181	0.824181	0.824181	0.824181	11.018428	22.375175	0.824181	0.824181	0.824181	0.824181	0.824181
HMDB00159	1.201156	1.560646	1.311643	1.488852	1.237961	1.407964	1.528572	0.651652	0.937103	0.716184	0.875164	0.812582	0.98214	0.826165
HMDB01429	0.947438	0.884921	1.003186	0.977316	0.896094	1.00129	1.05964	0.715266	0.993243	0.761066	0.961465	0.847933	0.843874	0.788116
HMDB00263	0.882401	0.941405	1.213843	1.563783	0.951205	0.281874	0.281874	0.357047	1.048794	1.080196	1.131771	0.867952	0.419622	1.198082
HMDB00224	4.458055	4.651899	1.008876	2.473396	0.911967	6.969036	5.886486	1.072863	2.065796	1.191253	0.565806	0.991125	0.836091	1.687081
HMDB00816	1.373923	0.947897	1.241162	1.935774	1.704829	0.752103	1.947658	0.668858	0.729666	0.910615	1.18688	1.160237	0.848229	0.58198
HMDB00070	0.708637	0.584388	0.790413	0.937847	1.117203	1.098071	1.215172	5.188925	5.608545	0.809195	4.980206	0.983748	0.888753	0.714284
HMDB06695	0.572457	1.045785	0.42498	0.677876	0.425288	0.717513	1.391736	1.465158	2.054585	0.781608	1.397677	3.130633	1.647271	2.961597
HMDB00162	1.253832	1.440141	1.180302	1.336454	1.113075	1.508638	1.687001	0.491156	0.862902	0.66479	0.589279	0.703734	0.855452	0.854863
HMDB00824	2.087028	1.685569	2.949675	2.605087	2.569592	1.516582	2.315769	0.269049	1.355697	0.566509	0.932588	0.162436	0.528414	0.728866
HMDB00767	1.718548	1.513035	1.472124	1.800158	1.081212	1.741504	1.850786	7.250535	4.854837	1.252592	2.811028	0.802155	0.732268	0.953533
HMDB01414	0.746921	1.019122	1.014823	1.656331	1.564413	0.274898	0.391468	2.405895	5.76097	2.901418	2.781149	0.430108	0.521247	0.703469
HMDB00017	0.295312	0.295312	0.295312	0.295312	0.295312	0.295312	0.295312	0.362048	0.697935	0.295312	0.61911	0.45714	0.297061	0.295312
HMDB00243	0.171608	0.259387	0.332803	0.354471	0.360778	0.171608	0.277339	0.831028	0.691711	1.271463	0.585162	0.525091	2.102247	0.637412
HMDB00508	0.779079	0.934658	1.449097	0.801838	0.985115	0.812778	0.959254	0.385069	0.66916	0.684139	0.334695	0.811264	0.982324	1
HMDB00244	0.805408	1.040463	0.828438	1.036167	0.505446	0.261991	0.604494	1.196507	1.598041	0.749232	1.080947	1.446317	0.519219	0.97331
HMDB00283	0.550436	0.780072	0.708277	0.523252	0.515228	0.501292	0.608387	0.274006	0.98311	0.401293	0.764609	0.791562	1.01689	0.46089
HMDB00618	0.176513	0.176513	0.74439	0.547221	1.222387	0.185413	0.636333	0.999388	0.176513	1.023353	0.176513	0.608455	1.529754	0.650272
HMDB00621	0.596882	0.875421	0.814297	0.751756	0.458339	0.591037	0.726505	0.355779	0.868517	0.410602	0.776666	0.903159	1.289727	0.518167
HMDB00939	0.493898	0.535388	0.783218	0.682176	1.005658	0.652782	0.793516	0.556145	0.434009	0.567915	0.699893	0.826073	1.302662	0.403379
HMDB01185	1.634315	1.427908	1.675092	1.644522	1.541726	2.254397	2.666972	0.420443	0.476626	0.865529	0.394688	0.511138	0.978591	0.772506
HMDB0060507	0.069246	0.069246	0.069246	0.069246	0.069246	0.069246	0.069246	0.292806	0.674069	1.229942	0.948612	1.333917	2.082528	0.974122
HMDB00271	0.404548	0.247202	0.362192	0.376001	0.357769	0.95135	0.966166	0.641938	3.103315	0.303555	1.55712	1.140878	0.480631	0.602951
HMDB06088	1.738302	1.882991	1.657591	1.143819	1.354107	0.537988	0.811315	1.678234	1.83545	0.852357	1.148632	2.438514	1.309694	0.694475
HMDB01068	0.930781	0.300662	0.300662	3.164246	1.270982	0.852955	1.360284	1.855487	0.300662	1.069219	1.27193	0.745292	1.343644	2.319076
HMDB03406	2.030483	2.081197	2.354626	2.396435	1.911648	2.332128	2.355345	0.695748	0.878649	0.874254	0.837264	0.725162	0.959277	0.96855
HMDB00247	1.429478	0.978559	1.027548	1.021441	0.530788	0.903128	1.143788	0.409298	0.315311	0.343367	0.482112	0.522095	0.61328	0.528591
HMDB01257	0.971859	0.871214	1.01249	1.136029	1.158823	1.153257	1.116138	0.67818	0.631014	0.608646	0.747921	0.537785	1.162403	0.689862
HMDB00269	1.10924	1.311938	0.748313	0.815545	1.47544	0.742067	0.953003	1.115493	0.963478	1.000406	0.793781	0.497367	0.999594	0.548338
HMDB00252	7.373405	2.763906	4.153193	4.186687	3.830129	2.931023	3.870155	0.442039	0.614867	0.744988	1.127362	0.4846	0.730915	0.550831
HMDB00256	0.974086	0.753295	1.347467	2.198388	0.879187	1.570627	1.021289	0.263736	0.423819	0.294903	0.227296	0.22552	0.76022	0.22552
HMDB04827	0.58002	1.203754	0.770194	0.918847	1.547301	0.919378	1.165125	0.413597	0.327433	0.124543	3.095646	1	0.297196	0.254315
HMDB00827	0.883676	1.154791	1.185455	1.008443	1.101768	0.867373	0.795018	1.251205	0.974872	0.859892	0.875398	0.801605	1.036178	1.07505
HMDB06547	0.593635	2.551931	0.788486	0.670115	1.185388	1.728942	2.062732	0.113976	0.113976	0.12957	0.310948	0.113976	0.287728	0.173635
HMDB01348	1.610879	1.917207	2.413479	1.897815	2.330473	1.399723	1.734084	0.734646	0.511114	0.565669	0.354544	0.634391	0.69472	0.623293
HMDB00848	0.974869	0.537723	2.496524	1.586495	3.32155	1.025131	1.558581	13.164045	2.960829	1.402848	1.097567	0.603377	0.339552	1.341703
HMDB00254	0.526324	0.670213	0.73648	0.334545	0.640917	0.366988	0.462831	2.466529	0.376784	5.080063	0.530926	0.426981	2.674119	2.867375
HMDB0061717	1.164539	1.201474	1.98521	1.635225	2.002692	1.162311	1.191945	0.26797	0.256063	0.307202	0.179573	0.283384	2.616374	1.710118
HMDB03418	0.481653	0.745791	0.964095	0.481653	0.481653	0.875172	0.481653	0.481653	0.481653	0.481653	0.481653	0.481653	0.481653	0.481653
HMDB00251	1.28739	1.229957	1.248543	1.305957	1.2997	1.218157	1.212676	0.507191	0.832568	0.482726	0.88014	0.777603	0.704976	0.592111
HMDB00932	0.552592	0.763617	2.72491	1.047411	3.972433	0.498625	0.41569	1.716317	2.765911	1.135471	3.749486	0.492619	1.244142	0.867811
HMDB00951	0.297999	0.804227	0.506067	0.590473	0.351648	0.133251	0.120268	0.157741	0.574205	0.439228	1.135673	2.144115	1.723359	0.349773
HMDB00036	0.60834	0.903613	2.347526	0.943097	2.308249	0.389442	0.520026	0.595098	1.229382	0.575203	1.571099	0.411811	1.307563	0.582342
HMDB00896	1.564468	1.578521	2.314703	2.330867	0.956908	0.629122	0.473711	0.123711	0.659027	0.245857	0.123711	0.123711	1.855057	0.278797
HMDB00235	0.607253	0.677725	0.448379	0.288653	0.420226	0.485782	0.377917	0.252258	1.064628	0.890764	0.738283	0.79577	1.300786	0.624769
HMDB04136	0.503196	0.503196	0.503196	0.503196	0.503196	0.503196	0.503196	4.022009	2.43766	0.503196	1.381458	0.503196	0.763878	0.503196
HMDB00943	1.136411	0.824557	0.525663	0.844653	0.64638	0.289847	0.379594	2.577634	2.268847	1.320892	1.258447	1.601647	1.461433	1.999889
HMDB00167	1.310628	1.466485	1.530897	1.590326	1.071006	1.50453	1.66867	0.626974	1.043212	0.775465	0.890358	0.95608	0.979392	1.013047
HMDB00273	1.347124	0.553466	1.540577	1.341557	1.120466	0.879534	1.275236	0.257153	0.257153	0.257153	0.257153	0.257153	0.257153	0.257153
HMDB00262	4.818337	7.895717	3.141704	4.231897	3.621317	3.362693	6.409053	0.273944	0.889994	1	0.618155	0.783825	0.801128	0.40165
HMDB02366	1	1.351921	0.553755	0.482293	0.453209	0.453209	0.453209	0.453209	0.453209	0.453209	1.33449	0.972337	0.584134	0.752135
HMDB00725	0.663051	0.582898	0.595131	0.676958	0.620224	2.118799	1.724169	0.258045	0.739208	0.470319	1.108524	1.982538	1.014325	1
HMDB00875	0.44178	0.474623	0.254582	0.544859	0.322733	0.315125	0.664106	0.132369	0.649126	0.328249	2.129836	1.327452	0.856537	0.769946
HMDB00929	1.1258	1.522981	1.392452	1.465719	1.243914	1.431592	1.780452	0.474325	0.706295	0.719943	0.685805	0.991281	1.008719	0.847865
HMDB00158	1.891333	2.244683	2.010967	2.195807	1.936337	2.109572	2.440316	0.548615	0.834151	0.837809	0.354023	0.86746	0.967216	0.959582
HMDB000302	0.528824	0.450037	0.258775	0.258775	0.258775	0.969239	1.543239	0.258775	0.262963	0.722232	0.806881	0.258775	1	0.258775
HMDB00935	1.812298	0.168326	1	0.965741	1.144549	2.226748	1.808194	0.168326	0.168326	0.168326	0.168326	0.168326	0.168326	0.168326
HMDB00300	0.947725	1.135463	1.015415	1.089815	0.74088	0.929266	0.939859	0.762607	0.831819	0.94276	1.433307	1.220354	1.048185	1.610583
HMDB00294	1.490721	0.722331	0.770164	1.264336	0.442489	0.827748	0.912601	31.360552	16.949224	0.502439	14.473982	2.038361	1.044397	0.735724
HMDB00296	0.919844	1.004736	1.085533	0.910843	1.047782	0.881313	1.065845	0.410558	0.357897	0.568463	0.82501	0.658351	0.851192	0.917006
HMDB00927	0.843639	0.843639	0.843639	0.843639	0.843639	0.843639	0.843639	0.843639	0.933567	0.843639	0.843639	0.843639	0.843639	0.843639
HMDB00883	1.087879	1.308433	1.157793	1.326771	1.037567	1.160448	1.380972	0.626518	1.009158	0.765355	0.733681	0.990842	0.887293	0.8143
HMDB00292	0.941474	1.242769	0.869356	0.922295	0.667332	0.946701	1.21277	0.765276	1.007344	0.684637	1.266998	0.974493	0.812912	1.11592
HMDB00299	0.236633	1.154489	0.846356	0.635025	0.628835	0.249219	0.802165	0.101832	0.412497	0.215167	0.300021	0.821198	0.594113	0.237884
HMDB00568	0.527788	1.047498	0.675817	0.259341	0.532312	0.44743	0.397591	0.456227	0.670669	0.339992	0.669014	1.051669	0.797908	0.750504
HMDB0059750	0.4124	1.095241	0.231115	0.442494	0.392382	0.631778	0.752663	0.920377	0.962138	0.567916	0.860002	1.148291	0.646054	0.379483
HMDB00654	1.088466	0.666492	1.050914	0.848691	0.653071	0.800946	0.750519	0.198967	0.36713	0.198967	0.265548	0.198967	0.575647	0.519618
