Samples	Myc1	Myc2	Myc3	Myc4	Myc5	Myc6	Myc7	Ras1	Ras2	Ras3	Ras4	Ras5	Ras6	Ras7
Factors	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor
HMDB00050	0.464488	0.663955	0.592173	0.56804	0.749618	0.703558	0.499024	0.56888	0.726263	0.626498	0.890398	0.687948	1.285424	0.888023
HMDB11617	0.128037	0.354943	0.270759	0.343703	0.411647	0.490927	0.379298	0.351494	0.715154	0.672127	1.112294	0.861392	1.157214	0.662381
HMDB00061	0.328117	0.328117	0.328117	0.328117	0.328117	0.328117	0.328117	0.378096	0.445969	0.439799	0.71488	0.553176	0.771678	0.328117
HMDB03540	0.489919	0.805373	0.367843	1.242878	0.52156	0.827576	0.721228	1.288444	1.04848	0.643595	1.715715	1.653732	1.401459	1.266773
HMDB00045	0.395376	0.384608	0.468297	0.436568	0.624032	0.992447	0.95588	0.301838	0.592237	0.459976	0.576834	0.361248	2.175258	0.297717
HMDB00536	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HMDB02226	0.836907	1.06944	0.911561	0.918888	0.591318	1.1712	0.861372	0.491734	0.97429	0.357739	1.602868	1.81328	1.753252	2.856707
HMDB00161	0.800238	0.805665	0.844564	0.715572	0.730426	0.888078	1.150767	0.474402	0.892416	0.653993	0.620348	0.54753	0.879525	0.658378
HMDB00462	0.451321	0.732703	0.430034	0.719583	0.491902	0.559947	0.767448	2.657441	2.977899	0.587974	1.425305	1.054581	0.894814	0.679385
HMDB04041	0.943428	1.344508	1.152912	0.311463	0.311463	0.749149	1.004024	0.311463	0.972895	0.345108	0.311463	0.311463	0.311463	0.311463
HMDB00407	0.987585	1.278004	0.772976	1.236363	0.656434	1.652475	1.669078	2.621812	3.708139	0.783751	3.76335	0.633143	0.391262	0.501858
HMDB00208	0.378606	0.378606	0.378606	0.378606	0.378606	0.378606	0.378606	0.581161	0.378606	1.402509	0.378606	0.43517	3.430805	1.154229
HMDB01893	0.376995	0.376995	0.990953	1.009047	0.520993	0.376995	0.688276	0.376995	0.376995	0.376995	0.376995	0.376995	1.081639	0.689455
HMDB01851	1.107002	0.661361	0.661361	0.901477	0.661361	0.661361	1.318853	7.547362	5.938304	0.661361	4.311844	0.661361	1	0.895656
HMDB00539	1.498635	0.587842	0.795572	2.135848	0.976278	1.076015	1.008437	9.020627	5.608991	0.432435	2.361567	0.432435	0.904393	0.58642
HMDB02212	0.906269	0.674232	1.085683	0.810317	1.019532	0.595322	0.928461	1.287431	1.100677	0.81101	0.539975	0.551126	0.828241	1
HMDB01043	1.062979	1.108833	1.040074	1.151275	0.918368	0.89567	0.842628	0.47131	0.85534	0.240934	0.867257	1.00393	1.113468	1.203132
HMDB00517	0.731752	1.042898	1.235194	1.200493	1.05183	1.642063	1.591711	1.42552	1.181505	1.430763	1.169471	1.399244	1.33327	1.387175
HMDB00044	2.875963	3.370534	4.738949	6.34537	1.733724	13.341545	13.465601	0.040982	0.166559	0.011005	0.164178	0.011005	2.654942	0.218292
HMDB00168	1.691263	1.740636	2.292233	1.802223	0.795565	2.796704	3.905325	0.492094	0.746678	0.447743	0.247537	0.689702	1.443084	0.643668
HMDB00191	1.595806	1.510134	1.662662	1.651842	1.407426	1.172112	1.252548	0.333309	0.426461	0.7066	0.488475	0.755294	1.117098	0.896432
HMDB00784	1.319584	0.824506	0.694093	0.591091	0.802478	0.55742	0.559332	1.522084	1.019749	1.236564	0.712886	0.801357	0.686414	0.533193
HMDB00056	0.863863	1.455568	0.584076	0.761094	0.795226	0.724507	0.7764	0.63021	2.416344	1.034305	2.059717	0.796771	0.33055	0.763656
HMDB01352	0.15201	0.15201	0.331329	0.15201	0.353852	0.15201	0.15201	0.15201	0.15201	0.15201	0.15201	0.562765	0.15201	0.15201
HMDB00415	0.035338	0.81013	0.042267	0.027833	0.141239	0.063611	0.166257	0.039106	1.352902	0.230539	0.619699	0.091119	0.680095	0.081354
HMDB00852	0.718594	0.999052	0.598553	0.841036	0.598553	1.333039	0.942029	1.019028	0.898838	0.598553	0.598553	0.598553	1.963681	1.551735
HMDB00043	0.997862	1.379108	1.563124	1.282266	1.555826	0.747311	0.86183	0.424585	0.436314	0.238562	0.490798	0.671138	0.365096	0.367057
HMDB01252	0.330489	0.788763	0.800587	0.707853	1.592369	0.173228	0.173228	0.173228	0.173228	0.397603	0.173228	1.040083	1	0.380162
