samples	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	Ctrl6	Ctrl7	Myc1	Myc2	Myc3	Myc4	Myc5	Myc6	Myc7
factors	normal control	normal control	normal control	normal control	normal control	normal control	normal control	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor
HMDB00206	0.510134	0.996358	0.723881	0.816722	0.972829	1.241368	0.955983	0.845503	1.38389	1.286113	1.335871	1.079933	1.259942	1.434914
HMDB01406	2.185023	2.030434	2.709776	2.140496	2.811621	2.149439	2.426733	0.747878	0.928404	0.644258	0.874853	0.814289	0.760409	0.795773
HMDB00902	2.146418	2.300645	3.116361	3.211769	4.509831	3.688365	4.317518	0.577215	0.832409	0.565615	0.655455	0.487076	0.733195	0.512586
HMDB00772	1.293458	0.88624	1.36121	1.149484	0.812805	0.863133	0.823415	1.281688	1.024813	0.847399	0.439349	0.620219	0.982727	0.818139
HMDB00207	0.628193	0.537399	0.911102	0.942394	1.11031	1.206506	1.118427	1.010097	1.214305	1.278994	1.107196	1.067575	0.989903	0.93636
HMDB05065	0.994224	2.024098	1.592613	0.461832	0.515265	0.513638	0.440073	1.049105	0.306789	1.060614	1.102755	1.20237	0.240948	0.242371
HMDB05765	0.702395	0.393747	0.50425	0.257617	0.256643	0.238351	0.197403	0.018789	0.018789	0.018789	0.018789	0.018789	0.018789	0.018789
HMDB03374	0.984705	0.815102	0.68499	0.541749	1.007833	1.003088	0.996912	1.015293	1.31257	1.034512	1.152415	0.77551	0.757916	1.015519
HMDB00226	0.78394	0.501047	0.279425	0.279425	0.462845	0.368394	0.279425	0.553974	0.471827	0.279425	0.473741	0.279425	0.745574	0.42846
HMDB0002329	0.819371	0.96149	0.856967	0.848704	0.696211	0.748757	0.829071	1.253525	1.896179	2.205648	1.53054	2.337542	2.059565	2.010514
HMDB0011635	0.751751	0.751751	0.751751	0.751751	0.918564	0.751751	0.751751	0.751751	1	0.751751	0.751751	0.751751	0.751751	0.751751
HMDB00220	0.961943	0.840402	1.259574	1.209911	1.346047	1.290064	1.331241	0.823579	1.181457	0.924203	0.883079	0.822088	0.957524	0.841945
HMDB03229	0.607429	0.467889	1.346489	1.249677	1.695774	1.739173	1.908694	1.066729	1.467466	0.974385	1.151179	0.851024	1.137501	1.155764
HMDB0010169	0.403677	0.312192	0.441099	0.450558	0.757628	0.78492	0.720001	3.708935	2.596834	2.690322	2.7413	1.953692	4.17935	4.389297
HMDB00222	0.228187	0.563227	0.27516	0.422616	0.351548	0.184295	0.184295	1.721551	0.518474	2.462687	2.690895	2.901921	1.419028	1.388462
HMDB00210	0.656582	0.71436	0.654749	0.678937	1.165393	0.931136	0.862716	1.412368	1.08523	0.888109	1.40034	1.294551	1.193052	1.208737
HMDB00826	1.174055	0.516401	1.015333	1.441432	1.155372	1.06716	1.077701	0.849799	1.029299	0.516401	1	0.578882	1.121935	0.829528
HMDB0060015	0.316655	0.316655	0.546392	1.084378	1.425846	0.620017	0.494623	0.524667	0.377561	0.316655	0.376306	0.316655	0.316655	0.316655
HMDB00821	1.413321	0.881413	0.839708	0.983753	1.702008	0.824181	1	0.824181	0.824181	0.824181	0.824181	0.824181	0.824181	0.824181
HMDB00159	0.881418	0.791192	0.834844	0.757708	1.216722	0.876427	0.92279	1.201156	1.560646	1.311643	1.488852	1.237961	1.407964	1.528572
HMDB01429	1.096263	1.015455	1.115944	1.101442	1.07337	1.065904	1.079057	0.947438	0.884921	1.003186	0.977316	0.896094	1.00129	1.05964
HMDB00263	1.113525	3.038092	2.440875	0.576086	1.879424	2.428607	1.538239	0.882401	0.941405	1.213843	1.563783	0.951205	0.281874	0.281874
HMDB00224	0.433118	0.455616	0.430948	0.490471	0.517999	0.632212	0.643523	4.458055	4.651899	1.008876	2.473396	0.911967	6.969036	5.886486
HMDB00816	1.157276	0.843467	1.137896	1.052103	1.104405	0.866667	0.662142	1.373923	0.947897	1.241162	1.935774	1.704829	0.752103	1.947658
HMDB00070	1.140332	0.980404	0.859394	0.949439	1.007547	0.992453	0.833328	0.708637	0.584388	0.790413	0.937847	1.117203	1.098071	1.215172
HMDB06695	1.597503	1.77017	0.876525	1.094476	0.307319	0.40432	0.298981	0.572457	1.045785	0.42498	0.677876	0.425288	0.717513	1.391736
HMDB00162	0.799411	0.720089	0.609443	0.701923	0.72212	0.673854	0.645499	1.253832	1.440141	1.180302	1.336454	1.113075	1.508638	1.687001
HMDB00824	1.067412	0.83867	0.723631	0.399308	0.603472	0.830793	0.55112	2.087028	1.685569	2.949675	2.605087	2.569592	1.516582	2.315769
HMDB00767	0.171098	0.171098	0.171098	0.239661	0.275388	0.315006	0.298446	1.718548	1.513035	1.472124	1.800158	1.081212	1.741504	1.850786
HMDB01414	0.08883	0.137164	0.309746	0.176506	0.216422	0.29458	0.227919	0.746921	1.019122	1.014823	1.656331	1.564413	0.274898	0.391468
HMDB00017	2.497677	3.79621	2.696523	3.0528	2.441216	1.756541	2.593766	0.295312	0.295312	0.295312	0.295312	0.295312	0.295312	0.295312
HMDB00243	2.899688	6.139968	12.004183	8.784569	3.441575	4.26276	4.879362	0.171608	0.259387	0.332803	0.354471	0.360778	0.171608	0.277339
HMDB00508	2.792329	4.161062	0.334695	4.82485	3.004964	3.662604	3.491909	0.779079	0.934658	1.449097	0.801838	0.985115	0.812778	0.959254
HMDB00244	1.679236	1.02669	1.255678	1.842014	1.499362	1.452108	2.193741	0.805408	1.040463	0.828438	1.036167	0.505446	0.261991	0.604494
HMDB00283	4.694053	3.957139	5.412981	4.99977	3.481493	2.2775	3.116512	0.550436	0.780072	0.708277	0.523252	0.515228	0.501292	0.608387
HMDB00618	3.421594	0.176513	3.336631	1.388555	0.983988	1.055225	0.766642	0.176513	0.176513	0.74439	0.547221	1.222387	0.185413	0.636333
HMDB00621	4.068688	3.371524	3.94668	4.224144	2.946613	2.220722	2.678863	0.596882	0.875421	0.814297	0.751756	0.458339	0.591037	0.726505
HMDB00939	3.648971	3.06573	3.867861	3.730872	4.053189	2.73138	3.193252	0.493898	0.535388	0.783218	0.682176	1.005658	0.652782	0.793516
HMDB01185	0.572706	0.432565	0.927093	0.525441	0.457572	0.395727	0.449183	1.634315	1.427908	1.675092	1.644522	1.541726	2.254397	2.666972
HMDB0060507	1.284674	0.907773	1.157571	0.818461	1.074548	1.101163	0.948763	0.069246	0.069246	0.069246	0.069246	0.069246	0.069246	0.069246
