ProbeID,GeneSymbol,EntrezGene,UniGene,Cytoband,logFC.MycEffect,MycEffect.adjustp, Control 1 , Control 2 , Control 3 , Control 4 , Myc 1 , Myc 2 , Myc 3 , Myc 4 
A_51_P504442,Sf3a1,67465,Mm.156914,mm|11qA1,0.9,0.013,10.228,10.169,10.487,10.384,11.82,11.17,11.392,11.577
A_51_P270206,4921537D05Rik,77048,Mm.296971,mm|10qC2,0.9,0.013,9.953,9.676,9.731,9.574,11.112,11.049,11.124,11.154
A_51_P451338,Jag2,16450,Mm.186146,,0.9,0.019,5.836,5.968,5.926,5.968,7.852,7.132,7.181,7.385
A_51_P235580,Dap3,65111,Mm.29028,mm|3qF1,0.9,0.046,13.002,13.037,13.181,13.317,14.368,14.216,14.419,14.694
A_51_P127777,Rai12,54351,Mm.13430,mm|11qB3,0.9,0.061,10.856,10.885,11.043,11.052,12.042,12.095,12.509,12.308
A_51_P342271,0610039J04Rik,66083,Mm.261321,mm|8qC5,0.9,0.074,11.228,10.749,11.205,11.22,12.299,12.102,12.58,12.289
A_52_P5901,Saal1,78935,Mm.289866,mm|7qB3,0.9,0.083,8.516,8.608,8.85,8.507,9.48,9.762,9.799,9.968
A_52_P234189,Ints7,77065,Mm.338175,mm|1qH6,0.89,0.001,9.754,9.521,9.798,9.689,10.648,10.417,10.507,10.692
A_52_P240020,Jtv1,231872,Mm.200499,mm|5qG2,0.89,0.002,7.29,7.492,7.841,7.561,8.762,8.809,8.897,9.018
A_51_P219061,Oxa1l,69089,Mm.182340,mm|14qC1,0.89,0.003,8.18,8.126,8.279,8.323,9.022,8.777,8.961,9.049
A_51_P126302,Rbmx2,209003,Mm.32561,mm|XqA4,0.89,0.016,6.436,6.76,6.577,6.681,7.993,7.891,8.162,8.015
A_51_P248674,Yars,107271,Mm.145488,mm|4qD2.2,0.89,0.03,10.475,10.97,10.74,10.876,11.858,11.748,11.943,11.669
A_51_P108891,Nufip1,27275,Mm.21138,mm|14qD3,0.89,0.037,11.233,11.082,11.08,10.96,12.375,12.298,12.268,12.488
A_52_P472799,Ecd,70601,Mm.35105,mm|14qA2,0.89,0.047,10.616,10.413,10.731,10.185,11.28,11.423,11.926,11.532
A_51_P201276,Btf3,218490,Mm.371688,mm|13qD1,0.89,0.064,13.257,13.246,13.104,13.121,14.568,14.506,14.66,14.708
A_52_P109521,Aatf,56321,Mm.257482,mm|11qC,0.89,0.074,7.421,7.343,7.293,7.386,8.475,8.506,8.529,8.355
A_51_P240019,Gyg,27357,Mm.6375,mm|3qA2,0.89,0.08,10.851,10.683,10.775,10.724,12.69,12.382,12.317,12.845
A_51_P112644,BC021438,215194,Mm.290690,mm|9qA3,0.89,0.092,9.257,9.267,9.067,9.271,10.614,10.214,10.835,10.552
A_52_P229959,6-Sep,56526,Mm.260036,mm|XqA3.1,0.88,0,6.383,6.536,6.442,6.511,8.177,7.891,8.227,8.039
A_51_P110147,Rpl7l1,66229,Mm.218533,mm|17qC,0.88,0,11.339,11.302,11.212,11.104,11.94,11.731,11.943,11.992
A_52_P180408,Bcas2,68183,Mm.104919,mm|3qF2.2,0.88,0.013,11.867,11.884,11.962,11.961,13.264,13.076,13.226,13.377
A_52_P496734,D330037H05Rik,207214,Mm.392457,mm|15qF1,0.88,0.016,10.1,9.547,9.646,9.51,10.405,10.21,10.242,10.118
A_51_P388099,Bat1a,53817,Mm.33263,mm|17qB1,0.88,0.022,11.868,11.767,11.676,11.606,13.244,12.954,12.966,13.204
A_51_P239926,Polr2c,20021,Mm.292492,mm|8qC5,0.88,0.024,12.178,12.031,11.96,12.044,13.549,13.24,13.332,13.413
A_51_P433556,Rbm21,70044,Mm.165979,mm|19qA,0.88,0.035,11.206,10.795,10.632,10.56,11.766,11.607,12.026,11.993
A_52_P89425,Pcnt,18541,Mm.251794,mm|10qC1,0.88,0.04,10.44,10.024,10.156,10.371,11.24,11.014,11.52,11.501
A_51_P230734,Slc34a3,142681,Mm.346652,mm|2qA3,0.87,0.001,5.877,6.067,5.926,6.004,7.633,7.268,7.41,7.702
A_51_P281246,Cep57,74360,Mm.157212,mm|9qA1,0.87,0.003,8.674,8.388,8.182,8.393,9.37,9.381,9.7,9.562
A_51_P490198,Pop5,117109,Mm.24636,mm|5qF,0.87,0.005,13.156,13.073,13.186,12.797,14,13.558,13.593,13.741
A_51_P261150,Sf3b4,107701,Mm.219671,mm|3qF2.1,0.87,0.035,9.52,9.386,9.66,9.199,10.599,10.59,10.752,10.887
A_52_P123315,Ptrh2,217057,Mm.24868,mm|11qC,0.87,0.035,11.552,11.537,11.549,11.45,12.709,12.535,12.878,12.644
A_52_P510771,Tbl3,213773,Mm.100353,mm|17qA3.3,0.87,0.054,8.863,9.128,8.941,8.856,9.969,9.8,10.285,9.974
A_51_P513991,Spag4,245865,Mm.330713,mm|2qH1,0.87,0.066,7.746,7.963,7.734,8.097,8.833,8.593,9.016,8.734
A_52_P569794,Mphosph9,269702,Mm.60224,mm|5qF,0.86,0.004,6.715,6.76,6.728,6.84,7.878,7.514,7.656,7.663
A_52_P557911,Sox21,223227,Mm.70950,mm|14qE4,0.86,0.006,7.438,7.083,7.201,6.986,8.24,8.156,8.28,8.442
A_51_P519837,Cherp,27967,Mm.30136,mm|8qB3.3,0.86,0.007,10.849,10.605,10.823,10.87,12.242,11.77,12.046,12.226
A_52_P472958,Utp6,216987,Mm.274961,mm|11qB5,0.86,0.008,9.393,8.968,9.544,9.245,10.084,10.248,10.498,10.408
A_51_P426533,Cdcp1,109332,Mm.27519,mm|9qF4,0.86,0.013,6.702,6.935,6.752,6.57,8.084,8.234,8.111,8.14
A_52_P208665,Nat13,72117,Mm.278726,mm|16qB4,0.86,0.018,10.999,10.713,10.864,10.983,11.797,11.648,11.979,11.754
A_52_P442169,,NA,Mm.20425,mm|9qF1,0.86,0.056,6.17,5.766,6.183,5.866,7.49,7.057,7.523,7.343
A_52_P125568,BC030440,210035,Mm.251075,mm|10qD3,0.86,0.057,7.791,7.783,7.851,8.085,8.933,8.642,9.156,9.07
A_52_P489119,Nol6,230082,Mm.285797,mm|4qA5,0.86,0.063,9.412,9.188,9.64,9.602,10.684,10.498,10.64,10.845
A_52_P329256,Fxn,14297,Mm.7319,mm|19qB,0.85,0.004,11.429,11.235,11.293,11.152,12.257,11.979,12.099,12.204
A_52_P120813,Tectb,21684,Mm.42139,mm|19qD2,0.85,0.008,5.721,6.104,5.756,6.032,7.347,7.333,7.827,7.639
A_51_P393699,Ptpla,30963,Mm.241205,mm|2qA1,0.85,0.011,10.409,10.51,10.568,10.542,11.356,11.114,11.439,11.134
A_51_P471779,Phf5a,68479,Mm.271715,mm|15qE1,0.85,0.013,11.697,11.916,12.078,11.732,13.022,12.588,12.706,12.736
A_52_P1333,Ankrd27,245886,Mm.272620,mm|7qB1,0.85,0.019,11.06,10.782,10.663,10.847,12.317,12.419,12.599,12.44
A_51_P444041,2410075D05Rik,73681,Mm.294503,mm|10qA4,0.85,0.033,9.279,9.232,9.438,9.233,10.029,10.304,10.46,10.325
A_51_P374782,Epn3,71889,Mm.248620,mm|11qD,0.85,0.087,10.28,9.78,9.911,9.54,10.816,10.745,11.276,11.09
