ProbeID,GeneSymbol,EntrezGene,UniGene,Cytoband,logFC.MycEffect,MycEffect.adjustp, Control 1 , Control 2 , Control 3 , Control 4 , Myc 1 , Myc 2 , Myc 3 , Myc 4 
A_52_P571350,H19,14955,Mm.14802,mm|7qF5,8.57,0,6.728,6.549,6.559,6.986,16.705,16.778,17.191,17.115
A_51_P494342,Bex4,406217,Mm.336245,mm|XqF1,7.32,0,8.173,7.519,7.401,7.734,16.829,16.79,16.568,16.764
A_51_P237668,Bex2,12069,Mm.94160,mm|XqF1,6.36,0,6.02,6.186,6.105,6.124,14.615,14.826,14.192,14.764
A_51_P516826,Igf2,16002,Mm.3862,mm|7qF5,6.04,0,7.421,7.434,7.459,7.475,17.449,17.308,17.389,17.459
A_51_P279154,Bex1,19716,Mm.422943,mm|XqF1,5.8,0,5.912,6.01,5.845,5.935,14.177,14.615,14.294,14.405
A_51_P479321,Acss1,68738,Mm.7044,mm|2qG3,5.79,0,6.788,7.244,6.93,7.115,14.242,13.845,14.301,14.712
A_51_P411345,Mogat2,233549,Mm.208030,mm|7qE1,5.55,0,6.834,7.053,7.083,7.165,12.819,13.557,12.834,13.298
A_51_P510891,Afp,11576,Mm.358570,mm|5qE2,5.46,0,7.814,7.662,7.574,7.688,18.326,18.233,18.326,18.321
A_52_P648601,Dusp9,75590,Mm.16479,mm|XqA7.3,5.45,0,7.352,7.265,7.582,7.44,13.996,13.659,13.875,13.745
A_52_P162298,1810015A11Rik,69101,Mm.425963,mm|16qA3,5.42,0,6.436,6.503,6.791,6.57,14.566,13.877,14.349,14.091
A_51_P472217,2010317E24Rik,72080,Mm.250293,mm|2qA3,5.27,0,7.054,6.878,7.083,7.077,13.43,13.02,12.947,12.981
A_51_P258176,Tmed6,66269,Mm.23032,mm|8qD3,5.15,0,6.534,6.38,6.492,6.309,12.228,12.513,12.747,12.68
A_51_P317427,Psat1,107272,Mm.289936,mm|19qA,5.02,0,7.384,7.311,7.447,7.521,14.432,14.142,14.888,14.231
A_51_P230103,Birc5,11799,Mm.8552,mm|11qE2,4.96,0,8.788,8.718,8.986,9.313,15.241,14.993,15.046,15.61
A_51_P360492,Mcm6,17219,Mm.4933,mm|1qE3,4.88,0,8.766,9.059,8.699,8.796,15.115,15.211,15.668,15.538
A_51_P317214,Gloxd1,242642,Mm.279897,mm|4qD1,4.74,0,6.305,6.596,6.53,6.45,12.051,11.314,11.294,11.259
A_51_P343350,Amn,93835,Mm.197639,mm|12qF1,4.73,0,6.121,6.139,6.156,6.096,12.881,12.411,12.3,12.427
A_52_P255959,Gm288,239083,Mm.343880,mm|14qC1,4.69,0,6.614,7.221,7.374,7.182,11.739,12.095,11.864,11.736
A_51_P489268,5730507H05Rik,54392,Mm.32012,mm|5qB3,4.56,0,6.988,7.053,6.976,7.297,12.202,12.103,12.726,12.752
A_51_P339540,Cdkn1c,12577,Mm.168789,,4.52,0.027,8.341,8.436,7.977,8.161,14.646,14.101,14.012,13.717
A_52_P202770,Ccnb1,268697,Mm.260114,mm|13qD1,4.47,0,6.534,6.67,6.55,6.97,11.917,11.879,12.361,12.373
A_51_P468073,Ggt1,14598,Mm.4559,mm|10qC1,4.42,0,6.715,6.266,6.064,6.57,11.64,11.589,12.252,12.134
A_51_P361022,Cdc20,107995,Mm.289747,mm|4qD2.1,4.38,0,9.412,9.049,9.329,9.6,14.44,14.065,14.665,14.562
A_51_P487999,Sgol1,72415,Mm.153202,mm|17qC,4.37,0,6.715,6.861,6.762,7.071,12.057,11.869,11.911,12.346
A_52_P314705,Uhrf1,18140,Mm.42196,mm|17qC,4.35,0,6.834,6.66,6.711,6.883,12.599,12.036,12.469,12.504
A_51_P129464,Scd2,20250,Mm.193096,mm|19qC3,4.34,0,8.689,8.685,8.337,8.445,14.67,14.504,14.59,14.928
A_51_P125745,Asns,27053,Mm.2942,mm|6qA1,4.25,0,7.834,8.041,7.878,7.992,15.001,14.987,15.595,15.351
A_51_P135618,Dlk1,13386,Mm.157069,mm|12qF1,4.19,0.004,9.185,8.803,9.065,9.011,12.364,13.383,13.233,12.838
A_51_P481920,Ccna2,12428,Mm.4189,mm|3qB,4.16,0,8.158,7.902,8.194,8.141,12.788,12.785,13.151,13.203
A_51_P164014,Cenpe,229841,Mm.161470,mm|3qG3,4.16,0,7.271,7.612,7.415,7.912,12.687,12.386,12.738,12.998
A_51_P239984,Exo1,26909,Mm.283046,mm|1qH4,4.12,0,6.425,6.453,6.569,6.629,11.346,11.249,11.184,11.44
A_51_P408732,Phgdh,236539,Mm.16898,mm|3qF2.2,4.08,0,9.416,9.088,9.304,9.338,16.494,16.587,16.859,16.814
A_51_P204402,Shcbp1,20419,Mm.37801,mm|8qA1.1,4.06,0,6.478,6.823,6.9,7.084,11.352,11.462,11.76,11.942
A_52_P56397,2610002D18Rik,69885,Mm.141592,mm|4qD3,4.02,0,7.421,6.969,7.415,7.369,12.182,12.035,11.789,12.044
A_51_P450623,Phlda2,22113,Mm.334344,,4.02,0,6.614,6.641,6.762,6.586,12.61,12.282,12.682,13.053
A_51_P133138,Kif20a,19348,Mm.258846,mm|18qB1,4.01,0,8.294,8.117,8.2,8.612,12.998,12.855,13.426,13.431
A_51_P253803,Mki67,17345,Mm.4078,mm|7qF4,3.97,0,7.975,8.007,8.011,8.377,13.232,12.439,12.983,13.141
A_51_P365516,,NA,Mm.401082,mm|16qB3,3.97,0.003,6.967,6.431,6.492,6.731,13.609,13.353,12.765,12.854
A_51_P230098,Pbk,52033,Mm.24337,mm|14qD1,3.96,0,6.926,6.986,7.051,7.311,11.03,11.502,11.942,11.979
A_52_P318073,,NA,,mm|5qG2,3.96,0.001,7.461,7.35,7.525,7.644,11.579,11.822,12.239,12.12
A_51_P423549,Shbg,20415,Mm.1431,mm|11qB3,3.95,0.027,5.95,5.904,6.025,5.79,10.6,10.909,11.05,10.731
A_51_P408155,Ngfrap1,12070,Mm.90787,mm|XqF1,3.94,0,9.136,9.212,9.181,9.069,14.948,14.462,14.391,14.718
A_52_P563375,Lgals2,107753,Mm.390793,mm|15qE1,3.9,0.061,7.637,8.231,7.62,7.644,12.696,12.704,12.251,12.523
A_51_P383489,Fignl1,60530,Mm.236114,mm|11qA1,3.87,0,6.246,6.352,6.402,6.323,11.058,10.99,10.892,11.298
A_52_P130490,MGC73635,665433,Mm.250564,mm|13qA3.1,3.86,0,12.054,11.642,11.586,11.442,16.599,16.181,16.181,16.286
A_52_P498210,Hist1h2af,319173,Mm.377878,mm|13qA3.1,3.79,0,9.599,9.464,9.494,9.307,14.2,13.615,13.868,13.783
A_51_P148105,Rad51,19361,Mm.330492,mm|2qE5,3.78,0,7.306,7.068,7.051,7.237,11.826,11.679,12.048,12.085
A_52_P94150,,NA,,mm|8qA2,3.78,0,7.101,7.165,7.326,7.357,14.214,14.129,14.506,14.225
A_52_P498208,Hist1h2ak,319169,Mm.370338,mm|13qA3.1,3.76,0,8.942,8.78,9.062,8.672,13.409,13.044,13.175,13.083
A_51_P125135,Cdca5,67849,Mm.23526,mm|19qA,3.74,0,8.027,7.858,7.999,8.131,12.601,12.346,12.782,12.79
A_51_P228658,Isyna1,71780,Mm.29357,mm|8qB3.3,3.68,0,9.655,9.416,9.469,9.322,15.005,14.824,14.636,14.606
A_52_P474145,Slc7a9,30962,Mm.45874,mm|7qB1,3.66,0,6.17,6.01,6.196,5.987,9.692,10.162,9.397,10.023
A_51_P358633,Melk,17279,Mm.268668,mm|4qB1,3.62,0,6.534,6.527,6.608,6.62,10.775,10.803,10.951,11.225
A_51_P446131,Gipc2,54120,Mm.97,mm|3qH3,3.59,0.02,6.305,6.104,6.183,6.437,12.629,12.61,12.331,12.657
A_51_P202857,Cdca7,66953,Mm.270676,mm|2qC3,3.58,0,8.272,8.443,8.331,8.125,12.447,12.053,12.369,12.179
A_52_P646858,Car12,76459,Mm.277921,mm|9qC,3.55,0,6.277,6.204,6.209,6.323,10.191,10.421,10.505,10.457
A_51_P231958,Zwilch,68014,Mm.335237,mm|9qC,3.51,0,7.322,7.165,7.215,7.394,11.666,11.296,11.724,11.698
A_51_P451151,Ube2c,68612,Mm.89830,mm|2qH3,3.51,0,8.041,7.737,7.901,8.156,12.665,11.68,12.276,12.13
A_51_P493467,Kif22,110033,Mm.286488,mm|7qF3,3.51,0,9.921,9.719,9.55,9.848,13.64,13.452,14.188,14.129
A_52_P221776,Kif12,16552,Mm.216057,mm|4qB3,3.5,0.002,6.824,6.853,6.679,6.815,11.822,11.307,11.206,11.637
A_52_P651235,Hist1h2ai,319191,Mm.14767,mm|13qA3.1,3.49,0,8.119,7.863,8.069,7.934,12.247,11.828,11.864,11.979
A_51_P130015,Ect2,13605,Mm.261453,mm|3qA3,3.48,0,7.384,7.413,7.494,7.483,11.491,11.21,11.271,11.373
A_51_P150912,Aurka,20878,Mm.249363,mm|2qH3,3.46,0,9.591,9.456,9.575,9.604,13.697,13.096,13.52,13.598
A_51_P105709,Trip13,69716,Mm.275095,mm|13qC1,3.45,0,8.549,8.495,8.231,8.525,12.788,12.338,12.675,12.62
A_51_P456657,Tgif2,228839,Mm.315625,mm|2qH1,3.45,0,7.681,7.581,7.525,7.572,12.612,11.723,12.138,12.095
A_51_P457528,Ccnb2,12442,Mm.22592,mm|9qD,3.42,0,10.209,9.944,9.91,10.084,14.192,14.014,14.408,14.71
A_52_P147803,AI428936,233066,Mm.227325,mm|7qA3,3.4,0.006,7.179,7.294,7.229,7.599,12.291,11.182,11.742,11.605
A_51_P499940,Hmgb2,97165,Mm.279998,mm|8qB2,3.39,0,9.355,9.131,9.137,9.249,13.312,12.863,13.556,13.287
A_52_P508974,Igf2bp3,140488,Mm.281018,mm|6qB2.3,3.36,0,7.121,7.004,6.183,6.207,11.476,11.076,11.555,11.571
A_51_P123405,Bub1,12235,Mm.2185,mm|2qF1,3.36,0,6.17,6.104,5.979,6.113,10.028,9.761,10.102,10.161
A_51_P344566,Plk1,18817,Mm.16525,mm|7qF2,3.35,0,9.197,9.006,9.177,9.189,12.878,12.348,12.893,12.963
A_51_P252157,Top2a,21973,Mm.4237,mm|11qD,3.34,0,6.666,6.681,6.608,6.883,10.731,10.685,10.849,10.896
A_51_P492830,Cenph,26886,Mm.273502,mm|13qD1,3.34,0,6.217,6.297,6.412,6.298,10.667,10.781,10.974,11.147
A_51_P498772,1700019D03Rik,67080,Mm.236287,mm|1qC1.1,3.34,0.008,6.549,6.325,6.433,6.347,10.567,10.802,10.461,10.831
A_51_P168632,Prim1,19075,Mm.2903,mm|10qD3,3.33,0,9.146,9.103,9.355,8.837,12.191,12.46,12.754,12.799
A_51_P206235,Slc39a5,72002,Mm.22983,mm|10qD3,3.33,0.011,6.055,6.218,5.992,6.032,10.394,10.184,10.382,10.099
A_52_P340669,Bhlhb8,17341,Mm.386767,mm|5qG2,3.32,0,6.588,6.935,6.608,6.472,11.935,11.203,10.807,11.353
A_51_P346815,6530401D17Rik,76219,Mm.328305,mm|XqF1,3.31,0,6.232,5.813,5.926,6.259,9.78,10.196,9.554,9.697
A_51_P240453,Nusap1,108907,Mm.290015,mm|2qE5,3.3,0,6.777,6.935,6.663,6.97,11.06,10.597,10.855,11.129
A_51_P228171,Cenpp,66336,Mm.374810,mm|13qA5,3.24,0,7.179,7.221,7.009,7.259,10.907,10.909,11.3,11.255
A_52_P227746,LOC619863,619863,Mm.430251,mm|12qF2,3.24,0.003,8.229,8.132,8.141,8.195,11.986,11.904,12.572,12.174
A_51_P303749,Depdc1b,218581,Mm.32318,mm|13qD2.2,3.23,0,6.904,6.897,6.986,6.949,10.952,10.915,11.209,11.225
A_52_P628067,Cdca3,14793,Mm.285723,mm|6qF2,3.23,0,8.539,8.354,8.741,8.811,12.535,12.129,12.458,12.599
A_51_P408946,Ccne1,12447,Mm.16110,mm|7qB2,3.2,0,9.211,9.202,9.172,9.495,13.352,13.052,13.215,13.091
A_51_P409694,Psrc1,56742,Mm.389499,mm|3qF3,3.19,0.002,6.763,6.503,6.617,6.748,11.925,11.142,11.176,11.624
A_51_P490509,Bub1b,12236,Mm.29133,mm|2qE5,3.18,0,7.421,7.237,7.396,7.521,10.843,10.945,11.123,11.173
A_52_P139650,2810433K01Rik,66468,Mm.283406,mm|18qE2,3.17,0,6.436,6.234,6.303,6.428,10.022,9.866,10.039,10.337
A_51_P372550,Cgref1,68567,Mm.45127,mm|5qB1,3.14,0.012,6.904,7.55,7.326,7.644,13.645,13.384,12.83,12.879
A_52_P17556,Timd2,171284,Mm.234654,mm|11qB1.1,3.09,0,11.519,11.551,11.776,11.574,14.183,13.948,14.312,13.885
A_52_P36591,,NA,,mm|11qA5,3.08,0,7.496,7.273,7.415,7.54,10.544,10.851,11.293,11.285
A_51_P300709,Srm,20810,Mm.10,mm|4qE2,3.07,0,10.906,11.4,11.324,11.343,15.057,14.882,15.384,14.954
A_51_P155582,Rad51ap1,19362,Mm.204634,mm|6qF3,3.07,0,6.507,6.618,6.569,6.815,10.146,10.196,10.599,10.604
A_51_P214209,Spbc24,67629,Mm.295642,mm|9qA3,3.06,0,7.898,7.892,7.822,8.094,10.936,10.96,11.332,11.464
A_51_P345159,Ube2t,67196,Mm.284587,mm|1qE4,3.05,0,7.375,7.188,7.221,7.394,10.856,10.953,11.207,11.211
A_51_P351144,Mybl2,17865,Mm.4594,mm|2qH2,3.05,0,7.359,7.004,7.293,7.271,11.267,10.742,11.095,11.14
A_51_P254811,Kif4,16571,Mm.383091,mm|XqC3,3.05,0,6.948,6.897,6.976,7.324,10.736,10.322,10.642,10.913
A_51_P137433,Kifc1,16580,Mm.335713,mm|17qA3.3,3.04,0,7.054,6.916,7.105,7.182,11.021,10.37,10.843,11.125
A_51_P210956,Vcam1,22329,Mm.76649,mm|3qG1,3.03,0.036,7.908,8.859,8.331,8.419,13.715,13.071,13.806,13.601
A_51_P369200,Tpx2,72119,Mm.291583,mm|2qH1,3.02,0,7.179,6.853,7.215,7.266,10.83,10.578,10.852,10.996
A_51_P296796,Nt5dc2,70021,Mm.261681,mm|14qB,3.01,0,7.236,7.473,7.433,7.556,11.086,10.974,12.122,11.498
A_51_P513530,Spag5,54141,Mm.24250,mm|11qB5,3.01,0,7.142,6.986,7.07,7.203,10.389,10.386,10.526,10.927
A_51_P514700,Spbc25,66442,Mm.272969,mm|2qC2,3.01,0.001,8.398,8.938,8.731,9.275,11.547,12.017,12.269,12.252
A_52_P326399,Fkbp11,66120,Mm.30729,mm|15qF1,3,0,10.842,11.115,11.017,11.095,15.277,15.486,15.075,15.292
A_51_P495641,Stmn1,16765,Mm.378957,mm|4qD3,2.99,0.001,10.388,10.585,10.609,10.989,15.07,14.953,15.389,15.589
A_52_P211223,Cdca2,108912,Mm.33831,mm|14qD1,2.95,0,7.121,7.053,7.268,7.203,10.663,10.404,10.683,10.796
A_51_P220222,Tacc3,21335,Mm.379024,mm|5qB1,2.95,0,6.871,6.771,6.711,6.97,10.878,10.511,10.468,10.84
A_51_P254045,Traip,22036,Mm.297870,mm|9qF1,2.92,0,6.436,6.861,6.711,6.899,10.335,9.832,10.468,10.163
A_52_P167278,Mthfd1l,270685,Mm.184752,mm|10qA1,2.92,0,8.362,8.397,7.906,7.947,12.794,12.465,13.144,12.698
A_51_P179565,2010204K13Rik,68355,Mm.45111,mm|XqA1.1,2.91,0,7.964,7.72,7.97,8.144,12.301,11.665,11.813,12.591
A_51_P441843,BC025462,208836,Mm.349493,mm|7qD2,2.9,0,6.641,6.66,6.53,6.764,10.193,10.046,10.367,10.46
A_52_P658437,Espl1,105988,Mm.288324,mm|15qF3,2.9,0.001,6.988,7.113,7.051,6.065,10.256,9.796,10.391,10.149
A_51_P510418,Aldh1b1,72535,Mm.331583,mm|4qB1,2.9,0.071,13.36,13.057,12.996,13.362,16.209,16.019,16.508,16.418
A_51_P351970,Hells,15201,Mm.57223,mm|19qC3,2.89,0,6.353,6.38,6.28,6.309,9.84,9.722,9.917,9.872
A_51_P436491,BC072620,237403,Mm.40213,mm|10qC1,2.89,0,6.153,6.283,5.992,6.019,10.397,9.415,10.317,9.721
A_51_P415059,Aurkb,20877,Mm.3488,mm|11qB3,2.89,0,5.986,5.634,6.132,6.032,9.457,9.359,9.718,9.638
A_51_P118545,S100g,12309,Mm.6891,mm|XqF5,2.89,0.002,6.055,6.204,6.051,5.828,11.581,10.33,11.214,11.068
A_51_P158210,Mcm2,17216,Mm.16711,mm|6qD1,2.87,0,7.791,7.855,8.11,7.912,11.525,11.366,11.63,11.06
A_52_P208613,Fancb,237211,Mm.336317,mm|XqF5,2.87,0,7.227,7.455,7.687,7.561,10.392,10.214,10.614,10.381
A_52_P286002,AW822216,98733,Mm.236454,mm|1qC4,2.85,0.074,6.02,6.104,6.255,6.179,9.932,9.991,10.016,10.314
A_51_P330213,Asf1b,66929,Mm.29680,mm|8qC2,2.83,0,8.488,8.51,8.61,8.609,11.564,11.473,11.857,11.928
A_51_P347240,Ppil5,69706,Mm.28847,mm|12qC2,2.81,0,6.186,5.668,6.209,6.232,9.293,9.227,9.43,9.485
A_52_P529570,4833432M17Rik,381318,Mm.32504,mm|1qH6,2.8,0,6.788,7.068,7.098,7.128,10.225,10.085,10.227,10.523
A_51_P232913,Cpt1b,12895,Mm.358582,mm|15qE3,2.79,0,7.162,6.691,6.884,6.955,11.148,10.75,10.884,10.922
A_52_P14686,Dtl,76843,Mm.189102,mm|1qH6,2.79,0,6.337,6.028,6.347,6.232,9.676,9.492,9.902,9.897
A_51_P110689,Rrm2,20135,Mm.99,mm|12qA1.3,2.79,0,7.384,7.364,7.679,7.726,11.817,11.444,12.133,11.857
A_52_P556099,Oip5,70645,Mm.246412,mm|2qE5,2.78,0,6.217,6.407,6.209,6.335,9.663,9.792,10.09,10.324
A_51_P450033,Cdc2a,12534,Mm.281367,mm|10qB5.3,2.78,0,9.303,9.079,9.318,9.063,11.927,12.462,12.527,12.617
A_51_P368171,AU020206,101757,Mm.200422,mm|7qD1,2.77,0,9.901,9.863,9.5,9.405,13.892,12.838,13.331,13.222
A_51_P264064,Incenp,16319,Mm.29755,mm|19qA,2.74,0,9.624,9.528,9.527,9.589,13.29,12.767,13.244,13.404
A_51_P273609,Itpka,228550,Mm.65337,mm|2qE5,2.72,0.029,10.2,10.395,10.317,10.434,13.058,13.09,12.466,12.785
A_51_P187902,Nol5a,67134,Mm.29363,mm|2qF1,2.71,0,11.553,11.75,11.427,11.379,14.878,14.877,15.215,15.332
A_51_P172085,Arhgdig,14570,Mm.1383,mm|17qA3.3,2.71,0,6.036,6.104,6.156,6.232,10.33,9.884,9.706,10.041
A_51_P273979,Cenpa,12615,Mm.290563,mm|5qB1,2.71,0,7.756,7.944,7.8,8.011,10.682,10.676,10.968,11.134
A_51_P232858,Rpl14,67115,Mm.289810,mm|9qF4,2.69,0,9.434,9.326,9.229,9.227,12.747,12.389,12.571,12.96
A_51_P106979,Slc35f2,72022,Mm.26159,mm|9qA5.3,2.69,0,6.904,7.077,6.93,7.108,10.227,10.36,10.613,10.449
A_52_P429650,Ncl,17975,Mm.154378,mm|1qC5,2.69,0,9.069,8.759,9.009,9.003,12.074,11.718,11.988,11.815
A_51_P133612,Cdt1,67177,Mm.21873,mm|8qE1,2.67,0,9.776,9.683,9.918,10.09,13.474,13.174,13.552,13.531
A_51_P515314,Gyltl1b,228366,Mm.31158,mm|2qE1,2.67,0.001,6.411,6.352,6.255,6.284,9.471,9.469,9.936,9.816
A_51_P285446,Lig1,16881,Mm.288179,mm|7qA1,2.66,0,9.663,9.819,9.601,9.693,13.607,12.783,13.343,13.459
A_51_P502787,Glis1,230587,Mm.331757,mm|4qC7,2.66,0,6.186,6.186,6.231,6.323,10.42,9.628,9.757,10.122
A_51_P198775,BC055324,381306,Mm.28152,mm|1qH2.2,2.66,0,7.7,7.673,7.872,7.768,10.781,10.922,11.02,11.176
A_51_P123134,Ercc6l,236930,Mm.31911,mm|XqD,2.65,0,6.398,6.028,6.625,6.758,10.056,9.722,9.951,9.86
A_51_P502082,Rrm1,20133,Mm.197486,mm|7qE3,2.63,0,10.064,9.823,9.853,9.79,13.108,12.596,12.894,13.12
A_51_P356762,Mcm4,17217,Mm.1500,mm|16qA1,2.63,0,10.259,10.188,10.083,10.198,13.636,13.385,13.51,13.761
A_51_P509651,Cep55,74107,Mm.9916,mm|19qC3,2.63,0,6.121,6.104,6.025,6.335,9.149,9.079,9.549,9.393
A_51_P270741,Syngr1,20972,Mm.230301,mm|15qE1,2.63,0.003,8.573,8.905,8.635,8.577,13.086,11.95,12.296,12.593
A_51_P230878,Mad2l1,56150,Mm.290830,mm|6qC1,2.62,0,6.926,6.978,7.09,7.141,10.207,10.422,10.603,10.518
A_52_P105040,Slc25a4,11739,Mm.16228,mm|8qB1.1,2.62,0.014,10.848,11.073,10.859,10.956,15.544,15.688,16.153,15.857
A_51_P501018,Nek2,18005,Mm.33773,mm|1qH6,2.6,0,9.011,8.945,8.707,8.868,11.688,11.155,11.855,11.894
A_51_P467410,Npm1,18148,Mm.6343,mm|11qA4,2.59,0,11.435,11.632,11.728,11.697,14.768,15.366,15.36,15.344
A_52_P279294,2900062L11Rik,76976,Mm.407198,mm|XqF1,2.59,0,6.02,5.904,5.906,5.919,9.522,9.913,10.526,10.039
A_52_P76931,Wdhd1,218973,Mm.265615,mm|14qC1,2.58,0,7.306,7.237,7.405,7.177,10.452,10.161,10.481,10.526
A_51_P398878,Uck2,80914,Mm.280895,mm|1qH2.3,2.57,0,9.272,9.412,9.603,9.448,12.537,12.539,12.875,12.702
A_51_P246119,Cenpf,108000,Mm.129746,mm|1qH6,2.57,0,7.722,7.705,7.811,7.857,11.161,10.448,10.935,10.84
A_51_P513682,Cdca1,66977,Mm.151315,mm|1qH2.3,2.57,0,7.414,7.158,7.415,7.644,10,10.075,10.465,10.416
A_51_P349142,Fbl,14113,Mm.4595,mm|7qA3,2.56,0,13.293,13.113,13.203,13.304,16.733,16.351,16.697,16.626
A_51_P512981,Ppil1,68816,Mm.328928,mm|17qA3.3,2.56,0,9.936,9.637,10.173,9.611,12.94,12.957,13.291,13.202
A_51_P243750,Racgap1,26934,Mm.273804,mm|15qF1,2.55,0,7.563,7.113,7.297,7.311,10.415,10.171,10.72,10.438
A_52_P301085,Dctd,320685,Mm.121549,mm|8qB1.1,2.55,0,6.368,6.087,6.242,6.221,8.955,9.124,9.419,9.266
A_51_P408071,Kntc1,208628,Mm.332684,mm|5qF,2.55,0,6.715,6.618,6.72,6.849,9.963,9.57,10,10.253
A_52_P60353,AK220484,381157,Mm.261535,mm|18qA1,2.55,0,6.478,6.618,6.303,6.381,9.827,9.364,9.926,10.19
A_51_P502152,Slc19a1,20509,Mm.265060,mm|10qC1,2.55,0,10.04,9.942,9.707,9.805,13.59,13.486,14.224,13.665
A_52_P66205,,NA,Mm.160061,mm|6qE3,2.54,0,6.246,6.325,6.267,6.552,9.188,9.118,9.727,9.642
A_51_P165704,Mcm7,17220,Mm.378965,mm|5qG2,2.53,0,10.921,10.964,10.987,10.903,13.758,13.669,13.987,14.09
A_52_P30984,Cdkn3,72391,Mm.272394,mm|14qC1,2.53,0,6.926,6.951,6.961,7.115,10.507,10.188,10.201,10.769
A_52_P251366,Neil3,234258,Mm.281749,mm|8qB1.3,2.52,0,6.036,6.153,6.105,6.096,9.46,8.826,9.179,9.373
A_51_P227004,Cks1b,54124,Mm.3049,mm|3qF1,2.52,0,10.005,10.194,9.777,9.671,13.324,13.176,13.231,13.449
A_51_P453475,Slc1a5,20514,Mm.1056,mm|7qA1,2.52,0,8.901,8.783,8.777,8.904,12.451,12.195,12.149,12.258
A_51_P129803,Cacybp,12301,Mm.10702,mm|1qH2.1,2.52,0.008,12.392,12.626,13.208,13.05,15.274,15.375,15.58,15.358
A_51_P481398,Kif11,16551,Mm.42203,mm|19qC2,2.51,0,6.882,6.366,6.28,6.405,9.769,9.547,9.528,9.721
A_51_P277941,Cad,69719,Mm.305535,mm|5qB1,2.51,0,9.564,9.408,9.761,9.661,13.013,12.422,13.239,12.987
A_51_P499233,C330027C09Rik,224171,Mm.24491,mm|16qB5,2.51,0,6.492,6.234,6.196,6.309,9.598,9.042,9.266,9.484
A_51_P127841,Pdss1,56075,Mm.249752,mm|2qA3,2.51,0.001,9.214,9.301,9.009,9.058,12.147,12.042,12.526,12.041
A_51_P204454,Skp2,27401,Mm.35584,mm|15qA1,2.51,0.007,6.859,6.76,6.587,6.782,9.985,9.72,9.716,9.612
A_51_P190111,Mcm5,17218,Mm.5048,mm|8qC1,2.5,0,9.715,9.567,9.687,9.532,12.398,12.358,12.575,12.708
A_51_P201035,Cenpi,102920,Mm.34903,mm|XqE3,2.49,0,6.507,6.453,6.644,6.578,9.545,9.41,9.508,9.789
A_51_P366931,Prc1,233406,,mm|7qD2,2.49,0.068,8.577,8.5,8.551,10.619,12.048,11.884,12.423,12.296
A_51_P195034,Esco2,71988,Mm.249280,mm|14qD1,2.48,0,6.02,6.05,6.231,6.309,9.163,8.636,9.153,9.272
A_51_P324934,Mcm3,17215,Mm.4502,mm|1qA4,2.48,0,10.145,10.014,9.942,10.005,12.923,12.826,12.838,13.127
A_51_P134468,D17H6S56E-5,110956,Mm.22506,mm|17qB1,2.48,0,8.225,7.82,8.148,8.074,11.012,10.789,11.103,10.97
A_52_P317393,Gpr56,14766,Mm.290834,mm|8qC5,2.48,0.001,7.687,7.48,7.201,7.471,11.086,10.922,11.03,11.235
A_52_P147816,Morc4,75746,Mm.23269,mm|XqF1,2.47,0.011,6.563,6.823,6.762,6.914,11.062,10.653,10.983,10.853
A_52_P363039,Brrn1,215387,Mm.29786,mm|2qF1,2.46,0,6.492,6.738,6.53,6.665,9.25,9.286,9.976,9.784
A_51_P108767,Rad54l,19366,Mm.3655,mm|4qD1,2.46,0,6.534,6.478,6.762,6.674,9.435,9.263,9.643,9.682
A_51_P421538,C80638,97086,Mm.25081,mm|3qG3,2.46,0,6.305,6.352,6.209,6.428,9.747,9.381,9.39,10.112
A_52_P399934,Dusp2,13537,Mm.4729,mm|2qF1,2.44,0,7.012,7.099,7.065,7.001,10.785,10.128,10.244,10.632
A_52_P162099,Ckap2,80986,Mm.22448,mm|8qA2,2.44,0,6.217,6.218,6.293,6.405,9.334,9.139,9.534,9.448
A_51_P337089,Gins1,69270,Mm.271603,mm|2qG3,2.44,0,8.967,8.862,9.059,8.908,11.415,11.181,11.5,11.706
A_51_P409496,Arhgap11a,228482,Mm.45753,mm|2qE4,2.43,0,6.277,6.503,6.231,6.552,9.88,9.306,9.707,9.531
A_51_P155142,Cdca8,52276,Mm.28038,mm|4qD2.2,2.42,0,11.13,11.097,11.134,11.19,14.232,13.347,13.73,13.87
A_52_P583097,LOC244911,244911,Mm.325849,mm|9qC,2.42,0.001,6.988,6.66,6.915,6.883,10.493,9.537,9.531,9.819
A_51_P111210,Smc4,70099,Mm.206841,mm|3qE1,2.41,0,9.303,9.6,9.51,9.972,12.458,12.336,12.828,12.856
A_52_P520161,,NA,,mm|18qB1,2.41,0.008,10.866,11.046,11.056,11.166,14.101,14.593,14.751,14.683
A_51_P398366,Tyms,22171,Mm.268395,mm|5qB1,2.4,0,10.543,10.693,10.767,10.682,13.241,13.109,13.197,13.39
A_52_P255034,4930547N16Rik,75317,Mm.179378,mm|10qC1,2.4,0,6.246,6.234,6.231,6.207,8.983,8.96,8.985,9.419
A_51_P306689,Rcor2,104383,Mm.283859,mm|19qA,2.4,0.001,7.711,7.902,7.949,8.198,12.114,11.033,11.004,10.858
A_51_P400784,Hnrpa1,15382,Mm.299367,mm|15qF3,2.39,0,9.819,10.043,9.579,10.087,13.253,12.906,13.388,13.144
