Gene	 Normal Control 1 	 Normal Control 2	 Normal Control 3	 Normal Control 4	 Myc Tumor 1 	 Myc Tumor 2	 Myc Tumor 3	 Myc Tumor 4
Grhl2	55.63805185	61.64876122	63.6460908	66.94943615	51.05569535	49.45347518	60.96883187	55.56097457
Mgmt	161.5682601	125.2789313	139.198514	135.6739563	112.4390999	101.4763695	91.32892837	106.0058447
Suv39h1	231.6816545	222.3979994	236.5497785	249.8641308	968.7630302	724.5794101	1047.692769	984.3311907
1300018I05Rik	2652.248062	3095.592813	2670.695906	3251.748581	2190.432436	1795.288517	1967.298281	2031.035865
Gtl2	129.9668609	128.3553838	158.0240137	168.1960483	896.4007216	1672.742894	1052.059074	1137.775338
2310003L22Rik	310.1882011	299.414442	364.8096292	298.7924741	407.8797293	434.1350219	462.4007732	460.4816958
Mll3	60.21287088	56.21954997	52.38202762	55.3303828	67.32171387	59.46628315	55.94743171	62.37949638
9630042H07Rik	75.89852796	72.00374302	77.7084726	69.74413518	56.76776353	70.37543356	70.96324119	64
Brca1	189.0992721	178.5271893	256.5328909	225.3463075	1257.20134	1202.649059	1342.773263	1417.369309
Pemt	11159.61782	10892.14143	12348.08758	10653.20568	2483.226253	2930.639913	5014.881863	3138.805679
Tdrd5	62.5960623	63.51387998	72.65549454	77.92422519	54.64433372	69.4546798	66.85668882	65.20903658
Pcmtd1	13409.79907	10219.23797	9351.616161	12953.01209	2936.740348	3061.451261	3106.339933	3278.908664
Asz1	57.12300617	60.84218248	57.48047186	55.3303828	59.42507855	57.92041362	52.70982511	58.04098105
Ptgs1	871.8885967	1351.176101	1132.268189	1396.887383	715.0994086	1007.804439	844.5271538	947.5117343
Rg9mtd2	258.4963322	253.1765546	336.6253466	303.1735326	261.5603412	336.3920966	341.5611314	369.6458741
Setd4	628.1651084	606.7674987	831.7464539	564.9580749	400.0398746	538.9471512	526.029537	496.6204981
Inmt	93780.47722	90272.56624	101140.4096	116421.6626	1237.317472	7538.177234	1544.581199	1495.072779
Usp9x	472.4441562	653.0275285	549.8902895	647.1695864	437.4577873	414.1472504	459.8437749	471.7896633
Rab6	6970.275672	7449.872399	7206.08523	8358.335769	5282.481155	6472.018427	5704.955825	6571.468115
Pik3ca	337.3260676	224.8781999	411.8570859	399.4856858	222.8609442	279.9450771	226.1286532	222.8609442
Setd7	53.44562684	54.41754624	54.0416568	56.80712559	63.46987077	54.41754624	59.30163596	58.04098105
Ing2	267.9834322	184.9510909	222.2438983	219.9451533	233.6167651	200.9927984	192.8051797	197.9510624
Trmt12	71.16026608	84.85924866	76.37348755	69.21438486	101.3357908	76.69177737	68.26148997	84.74169027
Ftsj1	1454.189935	1701.981925	1830.472013	1509.651679	2540.681826	2514.402681	3165.022411	2730.595691
Msh6	1335.347953	1697.269564	1488.867858	1937.52606	3521.562568	3453.874628	3972.963985	3995.05597
Prmt5	1316.963823	1403.681592	1227.919272	1118.229039	4463.624652	4448.181683	5326.60284	4870.992343
Arid4b	693.1385749	476.7205478	454.7721195	541.9440102	556.0227104	400.0398746	426.3811947	421.6786008
Comtd1	1657.737659	1647.428344	1427.227892	1540.304641	9235.664176	6836.300031	8689.153977	6548.732562
Gsk3a	110.5074635	110.0488302	118.1110391	127.3804444	107.4111535	132.8818266	127.2921816	130.4180732
Thada	80.84014476	68.78394706	73.97674922	66.94943615	68.02532316	79.39630705	77.54705027	79.78247643
B130055D15Rik	261.5603412	224.8781999	263.7450121	258.3172183	436.8517622	449.4447604	566.1340945	574.8333681
Mov10l1	54.15415018	58.04098105	60.8000245	50.98496616	68.02532316	52.74637344	59.30163596	50.84380161
Bhmt2	37981.25615	39184.6231	39704.08974	38245.43668	10772.01109	27977.89887	14572.89615	16856.29678
Cbx2	312.779034	297.9651928	379.7747031	371.4437652	290.2193697	177.539964	215.8671642	256.3551375
Btg1	14562.79849	11633.51948	7082.288999	7092.113945	9946.684493	7393.285959	8329.418124	7527.734341
Tfb2m	1117.45421	1174.637593	1366.244526	1543.510947	1125.226719	1116.679918	1456.207268	1348.369328
Morc2a	1281.839574	1176.267116	960.7385052	1184.4487	2288.204059	1697.269564	1704.343009	1789.077291
Piwil4	64.89340671	58.04098105	55.71523605	52.45469489	59.63138748	57.92041362	55.94743171	56.80712559
1500031M22Rik	555.6374384	644.4836728	587.3187964	552.5648571	2238.00881	1960.491946	2291.378383	2096.838452
Comt	66635.34499	85166.592	93780.47722	73885.31341	6365.243546	13825.078	7246.155246	6663.202391
Eed	784.7014196	1056.443576	1087.651007	1071.933729	1099.018533	1699.624111	1895.023469	1848.32149
Ogt	552.9479986	361.7878128	486.0631659	403.9407825	717.0848363	510.2286146	551.0349439	542.3197874
Dmrtc2	61.81992505	59.87990386	63.6460908	72.45432974	56.33657687	59.46628315	61.77708959	62.81338009
Apobec2	63.3819438	54.41754624	60.8000245	66.94943615	58.04098105	59.46628315	62.46603269	56.80712559
Setmar	534.4829068	577.229011	538.9471512	524.209613	324.9333468	419.3467893	371.4437652	400.3172573
Hells	81.74168059	83.28587875	77.7084726	79.28631666	916.5056726	844.5271538	966.7506372	937.0615482
Chd1	538.573711	389.3705608	402.5432536	547.2286675	1005.014081	497.9993331	467.2335301	621.2370228
Aicda	58.76967439	61.64876122	72.00374302	69.21438486	59.42507855	59.46628315	60.96883187	80.11497335
Tdrd3	848.6347822	773.3619638	1009.202521	946.1991142	1100.543153	975.50131	1034.702281	1083.136987
Mbd2	956.0882636	912.7019478	1125.226719	1191.860771	1306.055057	1424.263139	1693.743859	1344.636032
Alkbh3	1288.967346	1137.775338	1235.603374	1183.627988	1632.650192	1509.651679	2038.08711	1698.44643
Suv420h1	94.54963607	114.6426458	92.41146851	102.6080422	122.4458442	103.8962664	122.7858073	105.200664
Trmt5	402.2643285	474.4130877	602.5762495	531.8958609	744.4339289	805.0865072	670.4565366	848.0467572
2610039C10Rik	161.5682601	204.081274	190.6787153	241.3528412	721.0722442	559.5022024	694.5814157	676.5252637
Smarca4	4020.056326	2437.184914	2333.047557	1333.49805	8237.552275	4598.666945	4317.55847	2799.590302
Apobec3	79.06679278	84.15633665	87.60856404	80.72815417	58.40419127	83.74899657	98.22375014	89.13993476
Bmi1	167.0342333	239.1878008	196.7200232	332.9126775	186.2375275	167.3819326	192.8051797	165.7655039
A930028L21Rik	374.5462325	317.1452666	275.7085123	314.73635	649.8666936	541.5684934	578.0297753	636.9339665
2610205E22Rik	2277.128515	2007.243603	1573.760186	1731.732045	14076.48981	10433.96588	10233.41466	10690.19093
Jarid2	58.76967439	50.52760875	54.0416568	56.80712559	52.74637344	56.21954997	55.94743171	54.91011395
Hemk2	1755.906123	1528.605064	1425.250705	871.8885967	2173.794732	1677.387157	2003.073994	1563.973118
Chchd8	786.8800928	795.104128	957.4146025	1099.018533	1327.963704	998.7639926	903.8878682	1122.111249
Myst1	4246.32771	5910.235901	6621.764557	7057.78614	3666.022691	3771.702056	4025.633172	3758.652958
Nsun7	87.48719692	72.00374302	72.65549454	83.34362813	53.96679106	66.71780869	62.46603269	63.60198997
Ing1	3249.495422	2772.554299	2307.31618	2038.08711	4750.948985	3782.173945	4529.072756	3673.653902
B430006D22Rik	85.09485492	81.68504121	162.5793258	83.34362813	95.00950852	79.94855204	87.48719692	88.34031062
Cxxc1	1337.200422	1432.182869	1536.039925	1585.805369	990.4909615	1132.268189	1173.010328	1158.46601
1110005A03Rik	1951.00262	2155.788605	3042.412382	2167.776041	1227.068438	1316.05129	1246.787603	1285.398519
Mtrr	89.13993476	110.0488302	90.00916479	110.0488302	144.6076435	116.6465639	158.2432334	114.9609437
Ctr9	913.3348039	744.95011	845.1127383	914.6018328	1375.747508	1470.407179	2057.961104	1748.618679
Cbx5	698.9279836	570.862704	740.8306616	549.8902895	1093.698978	806.203368	1091.427058	1028.980552
Setd1b	1448.154688	1285.398519	1200.150818	1002.23145	1490.933298	938.3614921	1249.382923	1328.884497
Prdm15	449.133337	399.7626842	429.6446142	424.3173911	578.0297753	548.7480128	575.630809	658.4819115
Mettl7b	11771.41393	10697.60338	9830.165564	13234.35258	198.5006608	1595.729059	239.5196154	202.2505758
Wbscr22	3883.118449	3352.449768	3456.269501	3099.887192	4362.683201	4176.27211	4353.620682	4284.763913
Alkbh1	233.6167651	205.5007715	196.7200232	171.1360634	444.7959988	265.9479304	339.672356	294.6789098
BC067068	179.5199041	222.3979994	269.1002647	246.7660308	272.2899643	347.0500677	312.779034	337.092332
Jmjd2a	974.8253783	913.9680988	970.7796123	771.2207189	1105.895997	944.8883125	922.2410034	979.5667539
Setd1a	870.6807399	635.1704564	731.6449995	802.857425	1254.58978	865.2660576	1039.014448	1122.889307
Rbm15b	159.1231576	159.4543892	129.9668609	145.2103021	254.7608888	203.7985533	210.6932084	230.8800969
Phf2	278.9765407	232.8085125	231.5211207	265.9479304	192.0049906	175.0957189	174.8531529	188.8373065
Mettl1	92.66804303	106.7431736	115.7605603	97.61290581	176.6806212	179.0228586	179.0228586	161.0092764
Ilf3	917.1411662	830.5942073	814.064897	1081.63648	2038.08711	1871.52681	2258.266446	2108.498091
Bhmt	127841.7911	116421.6626	90963.49083	121449.7504	10742.1861	44917.81095	14633.62932	17978.68647
Prdm4	511.290709	481.702967	434.1350219	449.133337	946.8551968	812.9371453	785.7900012	876.7368034
Smyd2	5967.868371	7216.081913	6338.826214	7659.31682	14492.31049	12899.25389	14858.49115	14992.98477
Gcsh	1611.289488	1895.023469	2015.608877	1868.934121	1408.554822	1826.669608	1725.740707	1901.602514
Fmr1	676.0564946	512	529.321337	512.7102749	1862.4681	1229.62271	1537.104996	1660.037366
L3mbtl2	319.3511864	294.0667789	343.2224234	355.0799281	444.7959988	314.3003351	385.6103595	426.3811947
A930016P21Rik	3722.355165	3724.936199	3850.953533	3645.750203	2663.30142	2992.218887	3038.197625	3242.745307
4833442J19Rik	473.0995571	793.4524733	1064.529342	543.0721236	163.5967185	384.8093384	312.1293041	265.5795038
Gfi1	60.21287088	63.51387998	80.17052407	69.74413518	59.42507855	75.89852796	102.8216316	75.21768502
Dydc1	60.21287088	56.21954997	66.30289687	60.50573547	65.43542596	59.46628315	62.46603269	59.63138748
Hemk1	535.9668644	573.241799	780.9032465	670.4565366	444.7959988	421.9709875	659.8526108	712.6253526
Taf7	183.2919989	169.4833805	177.2940119	205.2160843	264.4772832	294.0667789	347.2907078	385.8777368
Trp53bp1	494.2167167	487.4126892	469.8316197	548.7480128	770.6863347	708.6846546	647.1695864	937.0615482
Spin2	93.63655813	61.64876122	82.76793164	80.05946113	78.62956675	99.94067105	73.72080911	76.95803193
Tdrd1	54.83404511	58.04098105	60.8000245	50.98496616	59.9629726	72.30382173	48.23471711	81.00842201
Tdg	342.509454	416.7389108	419.3467893	332.9126775	561.4446534	652.5750412	737.2448351	692.1783465
Paf1	3650.807791	3251.748581	3803.205027	3533.788547	5869.41092	5348.801688	6110.183533	6571.468115
Pnmt	334.3001055	292.8463291	327.4203088	219.9451533	106.0058447	109.2129406	124.2412121	136.6176433
Tfb1m	1478.583496	1365.297845	1468.370174	1315.139388	1397.855967	1495.072779	1764.446535	1684.377741
Pcmtd2	3191.458118	1965.935127	2222.549754	2493.575206	838.6935786	902.6356817	842.1888704	904.5146127
Rbbp5	1531.787017	1580.318899	1491.967093	1616.88348	1574.851411	1462.276075	1720.962565	1636.048725
Luzp5	221.4749928	197.2662037	212.0116893	226.1286532	1186.091834	781.986559	1088.405171	1168.142045
2410022L05Rik	666.28703	564.5666115	638.2598115	594.6924707	724.0773439	848.0467572	680.7588394	747.0184163
Snw1	1941.559225	2148.330143	2354.165449	2757.222542	4190.771076	4326.545921	4048.018029	5289.809307
Tdrd9	55.63805185	58.04098105	52.92949558	56.80712559	60.50573547	65.57163667	64	64.4005007
Thumpd3	1705.524779	2157.283402	2109.960097	1856.02445	2528.384219	2936.740348	2884.288977	2757.222542
2310079F23Rik	143.2111489	121.600049	151.5867663	157.2591335	268.727471	246.0827977	261.5603412	264.4772832
5630401D24Rik	370.4153308	357.3019556	345.8493656	363.7995631	912.7019478	739.2917481	1068.22512	953.4410955
Tyms	1491.967093	1655.441139	1742.568918	1642.867029	9681.400192	8834.911696	9390.589425	10734.74276
Jmjd1a	112.2833342	99.80221985	124.5861599	120.5928031	96.33579183	92.53966685	121.9376637	99.94067105
Tpmt	5275.163154	6273.261556	6212.679866	7151.350507	1192.687193	2099.747303	1254.58978	1770.57225
Bcdin3	762.7148611	660.3101443	708.6846546	733.676365	715.0994086	668.1369332	791.2556028	706.232792
