pathway	NOP2	CHROMATIN_ORGANIZATION
TCGA.EP.A2KB.01A.11R.A180.07	5.285104749	0.058944001
TCGA.UB.A7MB.01A.11R.A33R.07	5.284752496	0.142632877
TCGA.DD.A4NR.01A.11R.A311.07	5.284285308	-0.298747625
TCGA.DD.AAW0.01A.11R.A41C.07	5.281223639	-0.347081926
TCGA.BC.A10X.01A.11R.A131.07	5.276743738	-0.231293712
TCGA.UB.A7ME.01A.11R.A33J.07	5.275954222	-0.094335269
TCGA.DD.AADF.01A.11R.A41C.07	5.275252479	-0.117203855
TCGA.DD.AACL.01A.11R.A41C.07	5.275124041	-0.157594583
TCGA.G3.A7M5.01A.11R.A33R.07	5.271495376	-0.272965309
TCGA.DD.AACU.01A.11R.A41C.07	5.268457725	-0.246618534
TCGA.ZP.A9D0.01A.11R.A37K.07	5.266168806	-0.119995685
TCGA.ZP.A9D1.01A.11R.A38B.07	5.260201009	-0.281664631
TCGA.DD.A4NK.01A.11R.A28V.07	5.259762445	-0.153911084
TCGA.DD.AADD.01A.11R.A41C.07	5.251152147	0.136961389
TCGA.XR.A8TE.01A.11R.A36F.07	5.246106894	0.047475795
TCGA.CC.A7IH.01A.11R.A33J.07	5.245108811	-0.020322786
TCGA.DD.A4NS.01A.11R.A311.07	5.232564801	-0.276976865
TCGA.RC.A7SK.01A.11R.A352.07	5.232466804	-0.196980465
TCGA.DD.A4NV.01A.11R.A311.07	5.220750945	-0.252572662
TCGA.UB.AA0V.01A.11R.A38B.07	5.220608022	-0.367381057
TCGA.DD.A11A.01A.11R.A131.07	5.217994848	-0.144630228
TCGA.DD.A73A.01A.12R.A32O.07	5.217078044	-0.19708227
TCGA.CC.A8HU.01A.11R.A36F.07	5.215485063	-0.05116739
TCGA.DD.AAVX.01A.11R.A41C.07	5.208923459	-0.244323485
TCGA.DD.AACV.01A.11R.A41C.07	5.208508947	0.03768683
TCGA.2Y.A9GZ.01A.11R.A39D.07	5.19874774	-0.119420664
TCGA.G3.A5SL.01A.11R.A27V.07	5.198221801	-0.121389452
TCGA.DD.AADP.01A.11R.A39D.07	5.196999876	-0.033099005
TCGA.ED.A7XP.01A.11R.A352.07	5.194337104	-0.261299094
TCGA.DD.A4NO.01A.11R.A28V.07	5.190586585	-0.310054905
TCGA.CC.A9FV.01A.11R.A37K.07	5.187959732	-0.245916271
TCGA.DD.AAD0.01A.11R.A41C.07	5.186980009	0.066046779
TCGA.2Y.A9H5.01A.11R.A38B.07	5.186785581	-0.071385668
TCGA.FV.A3I0.01A.11R.A22L.07	5.186668372	-0.164623761
TCGA.DD.A4NJ.01A.11R.A27V.07	5.18145544	-0.066948039
TCGA.MR.A8JO.01A.12R.A36F.07	5.180991439	-0.395591369
TCGA.G3.A3CH.01A.11R.A22L.07	5.17604814	-0.158023578
TCGA.2Y.A9HA.01A.11R.A39D.07	5.175535878	-0.094579764
TCGA.ED.A66X.01A.11R.A311.07	5.172974556	-0.159155967
TCGA.ED.A7PY.01A.11R.A33R.07	5.168559381	-0.169079706
TCGA.CC.5264.01A.01R.A131.07	5.162466254	0.093471525
TCGA.RC.A7SF.01A.11R.A352.07	5.161029445	-0.238064136
TCGA.G3.A25Y.01A.11R.A16W.07	5.158650567	-0.108077158
TCGA.DD.A1EF.01A.11R.A131.07	5.151843569	0.088280158
TCGA.3K.AAZ8.01A.12R.A39D.07	5.150321021	-0.114527497
