pathway	NOP2	CENTROSOME_DUPLICATION
TCGA.UB.A7MB.01A.11R.A33R.07	5.284752496	0.260558401
TCGA.DD.A4NR.01A.11R.A311.07	5.284285308	-0.031378848
TCGA.DD.AAW0.01A.11R.A41C.07	5.281223639	-0.221663642
TCGA.BC.A10X.01A.11R.A131.07	5.276743738	-0.19089897
TCGA.UB.A7ME.01A.11R.A33J.07	5.275954222	-0.369067103
TCGA.DD.AADF.01A.11R.A41C.07	5.275252479	0.185024829
TCGA.DD.AACL.01A.11R.A41C.07	5.275124041	-0.155396887
TCGA.G3.A7M5.01A.11R.A33R.07	5.271495376	-0.319329388
TCGA.DD.AACU.01A.11R.A41C.07	5.268457725	-0.12266037
TCGA.ZP.A9D0.01A.11R.A37K.07	5.266168806	-0.319395236
TCGA.ZP.A9D1.01A.11R.A38B.07	5.260201009	-0.208198806
TCGA.DD.A4NK.01A.11R.A28V.07	5.259762445	-0.302873982
TCGA.DD.AADD.01A.11R.A41C.07	5.251152147	0.270779819
TCGA.XR.A8TE.01A.11R.A36F.07	5.246106894	-0.277220951
TCGA.CC.A7IH.01A.11R.A33J.07	5.245108811	-0.048439773
TCGA.DD.A4NS.01A.11R.A311.07	5.232564801	-0.246948375
TCGA.RC.A7SK.01A.11R.A352.07	5.232466804	-0.234565364
TCGA.DD.A4NV.01A.11R.A311.07	5.220750945	-0.083979362
TCGA.UB.AA0V.01A.11R.A38B.07	5.220608022	-0.214391624
TCGA.DD.A11A.01A.11R.A131.07	5.217994848	-0.028736309
TCGA.DD.A73A.01A.12R.A32O.07	5.217078044	-0.1970871
TCGA.CC.A8HU.01A.11R.A36F.07	5.215485063	0.062308642
TCGA.DD.AAVX.01A.11R.A41C.07	5.208923459	-0.114091705
TCGA.DD.AACV.01A.11R.A41C.07	5.208508947	0.328808157
TCGA.2Y.A9GZ.01A.11R.A39D.07	5.19874774	0.043590014
TCGA.G3.A5SL.01A.11R.A27V.07	5.198221801	-0.218308751
TCGA.DD.AADP.01A.11R.A39D.07	5.196999876	-0.030880148
TCGA.ED.A7XP.01A.11R.A352.07	5.194337104	-0.165787736
TCGA.DD.A4NO.01A.11R.A28V.07	5.190586585	-0.296743741
TCGA.CC.A9FV.01A.11R.A37K.07	5.187959732	-0.215132377
TCGA.DD.AAD0.01A.11R.A41C.07	5.186980009	0.263909561
TCGA.2Y.A9H5.01A.11R.A38B.07	5.186785581	-0.1671825
TCGA.FV.A3I0.01A.11R.A22L.07	5.186668372	-0.094012997
TCGA.DD.A4NJ.01A.11R.A27V.07	5.18145544	0.233641572
