pathway	NOP2	HISTONE_METHYLATION
TCGA.UB.A7MB.01A.11R.A33R.07	5.284752496	0.115281521
TCGA.DD.A4NR.01A.11R.A311.07	5.284285308	-0.342964261
TCGA.DD.AAW0.01A.11R.A41C.07	5.281223639	-0.354747368
TCGA.BC.A10X.01A.11R.A131.07	5.276743738	-0.350773832
TCGA.UB.A7ME.01A.11R.A33J.07	5.275954222	0.01434148
TCGA.DD.AADF.01A.11R.A41C.07	5.275252479	-0.090630872
TCGA.DD.AACL.01A.11R.A41C.07	5.275124041	-0.074274153
TCGA.G3.A7M5.01A.11R.A33R.07	5.271495376	-0.259428482
TCGA.DD.AACU.01A.11R.A41C.07	5.268457725	-0.100348017
TCGA.ZP.A9D0.01A.11R.A37K.07	5.266168806	-0.021723375
TCGA.ZP.A9D1.01A.11R.A38B.07	5.260201009	-0.295625048
TCGA.DD.A4NK.01A.11R.A28V.07	5.259762445	-0.094233296
TCGA.DD.AADD.01A.11R.A41C.07	5.251152147	0.215820834
TCGA.XR.A8TE.01A.11R.A36F.07	5.246106894	0.067956934
TCGA.CC.A7IH.01A.11R.A33J.07	5.245108811	0.039031629
TCGA.DD.A4NS.01A.11R.A311.07	5.232564801	-0.29034621
TCGA.RC.A7SK.01A.11R.A352.07	5.232466804	-0.190950227
TCGA.DD.A4NV.01A.11R.A311.07	5.220750945	-0.28558164
TCGA.UB.AA0V.01A.11R.A38B.07	5.220608022	-0.378429059
TCGA.DD.A11A.01A.11R.A131.07	5.217994848	-0.17816233
TCGA.DD.A73A.01A.12R.A32O.07	5.217078044	-0.353860197
TCGA.CC.A8HU.01A.11R.A36F.07	5.215485063	-0.036664056
TCGA.DD.AAVX.01A.11R.A41C.07	5.208923459	-0.280535887
TCGA.DD.AACV.01A.11R.A41C.07	5.208508947	0.053041149
TCGA.2Y.A9GZ.01A.11R.A39D.07	5.19874774	0.003807033
TCGA.G3.A5SL.01A.11R.A27V.07	5.198221801	-0.084320691
TCGA.DD.AADP.01A.11R.A39D.07	5.196999876	-0.049037268
TCGA.ED.A7XP.01A.11R.A352.07	5.194337104	-0.184328881
TCGA.DD.A4NO.01A.11R.A28V.07	5.190586585	-0.295712715
TCGA.CC.A9FV.01A.11R.A37K.07	5.187959732	-0.245211739
TCGA.DD.AAD0.01A.11R.A41C.07	5.186980009	0.237711337
TCGA.2Y.A9H5.01A.11R.A38B.07	5.186785581	-3.24E-04
TCGA.FV.A3I0.01A.11R.A22L.07	5.186668372	-0.217856231
TCGA.DD.A4NJ.01A.11R.A27V.07	5.18145544	-0.00550776
TCGA.MR.A8JO.01A.12R.A36F.07	5.180991439	-0.419568627
TCGA.G3.A3CH.01A.11R.A22L.07	5.17604814	-0.151181088
TCGA.2Y.A9HA.01A.11R.A39D.07	5.175535878	-0.029680361
TCGA.ED.A66X.01A.11R.A311.07	5.172974556	-0.039761722
TCGA.ED.A7PY.01A.11R.A33R.07	5.168559381	0.026787282
TCGA.CC.5264.01A.01R.A131.07	5.162466254	0.154766625
TCGA.RC.A7SF.01A.11R.A352.07	5.161029445	-0.283966387
TCGA.G3.A25Y.01A.11R.A16W.07	5.158650567	0.079089171
TCGA.DD.A1EF.01A.11R.A131.07	5.151843569	0.203044618
TCGA.3K.AAZ8.01A.12R.A39D.07	5.150321021	-0.095329179
