pathway	NOP2	CELL_CYCLE
TCGA.UB.A7MB.01A.11R.A33R.07	5.284752496	0.084152503
TCGA.DD.A4NR.01A.11R.A311.07	5.284285308	-0.160824325
TCGA.DD.AAW0.01A.11R.A41C.07	5.281223639	-0.222809629
TCGA.BC.A10X.01A.11R.A131.07	5.276743738	-0.241543741
TCGA.UB.A7ME.01A.11R.A33J.07	5.275954222	-0.207502715
TCGA.DD.AADF.01A.11R.A41C.07	5.275252479	-0.055402284
TCGA.DD.AACL.01A.11R.A41C.07	5.275124041	-0.075110213
TCGA.G3.A7M5.01A.11R.A33R.07	5.271495376	-0.253714922
TCGA.DD.AACU.01A.11R.A41C.07	5.268457725	-0.102709729
TCGA.ZP.A9D0.01A.11R.A37K.07	5.266168806	-0.198366552
TCGA.ZP.A9D1.01A.11R.A38B.07	5.260201009	-0.252272715
TCGA.DD.A4NK.01A.11R.A28V.07	5.259762445	-0.268171746
TCGA.DD.AADD.01A.11R.A41C.07	5.251152147	0.114512801
TCGA.XR.A8TE.01A.11R.A36F.07	5.246106894	-0.119053327
TCGA.CC.A7IH.01A.11R.A33J.07	5.245108811	-0.069263988
TCGA.DD.A4NS.01A.11R.A311.07	5.232564801	-0.300351347
TCGA.RC.A7SK.01A.11R.A352.07	5.232466804	-0.156317791
TCGA.DD.A4NV.01A.11R.A311.07	5.220750945	-0.274329799
TCGA.UB.AA0V.01A.11R.A38B.07	5.220608022	-0.312485743
TCGA.DD.A11A.01A.11R.A131.07	5.217994848	-0.066442989
TCGA.DD.A73A.01A.12R.A32O.07	5.217078044	-0.234922593
TCGA.CC.A8HU.01A.11R.A36F.07	5.215485063	0.058339568
TCGA.DD.AAVX.01A.11R.A41C.07	5.208923459	-0.224552638
TCGA.DD.AACV.01A.11R.A41C.07	5.208508947	0.114273663
TCGA.2Y.A9GZ.01A.11R.A39D.07	5.19874774	-0.183065457
TCGA.G3.A5SL.01A.11R.A27V.07	5.198221801	-0.117105046
TCGA.DD.AADP.01A.11R.A39D.07	5.196999876	-0.051556238
TCGA.ED.A7XP.01A.11R.A352.07	5.194337104	-0.177869978
TCGA.DD.A4NO.01A.11R.A28V.07	5.190586585	-0.238462848
TCGA.CC.A9FV.01A.11R.A37K.07	5.187959732	-0.216169837
TCGA.DD.AAD0.01A.11R.A41C.07	5.186980009	0.108748433
TCGA.2Y.A9H5.01A.11R.A38B.07	5.186785581	-0.163050522
TCGA.FV.A3I0.01A.11R.A22L.07	5.186668372	-0.181977824
TCGA.DD.A4NJ.01A.11R.A27V.07	5.18145544	-0.033669535
TCGA.MR.A8JO.01A.12R.A36F.07	5.180991439	-0.28933447
TCGA.G3.A3CH.01A.11R.A22L.07	5.17604814	-0.123028605
TCGA.2Y.A9HA.01A.11R.A39D.07	5.175535878	-0.13195013
TCGA.ED.A66X.01A.11R.A311.07	5.172974556	-0.062467715
TCGA.ED.A7PY.01A.11R.A33R.07	5.168559381	-0.134378142
TCGA.CC.5264.01A.01R.A131.07	5.162466254	0.172438068
TCGA.RC.A7SF.01A.11R.A352.07	5.161029445	-0.181341819
TCGA.G3.A25Y.01A.11R.A16W.07	5.158650567	-0.016862631
TCGA.DD.A1EF.01A.11R.A131.07	5.151843569	-0.011972936
TCGA.3K.AAZ8.01A.12R.A39D.07	5.150321021	-0.186483355
TCGA.LG.A9QD.01A.11R.A38B.07	5.145254333	-0.320248297
TCGA.ZS.A9CF.01A.11R.A38B.07	5.139801811	-0.041455989
TCGA.WJ.A86L.01A.12R.A39D.07	5.138812779	-0.183954831
TCGA.ED.A459.01A.11R.A266.07	5.134220228	-0.004594501
TCGA.DD.AADK.01A.11R.A41C.07	5.133165638	-0.316683283
TCGA.DD.AAVS.01A.11R.A41C.07	5.127049709	-0.042477642
TCGA.DD.AADG.01A.11R.A41C.07	5.125733548	-0.11344575
TCGA.DD.A114.01A.11R.A131.07	5.125169156	0.063201245
TCGA.BC.A3KG.01A.11R.A213.07	5.123562539	0.089431224
TCGA.2Y.A9GS.01A.12R.A38B.07	5.123035505	0.017638236
TCGA.ZP.A9CY.01A.11R.A38B.07	5.113975049	-0.31717117
TCGA.DD.AADQ.01A.11R.A41C.07	5.110910681	-0.156993912
TCGA.DD.A73B.01A.12R.A32O.07	5.108172833	0.061343809
TCGA.DD.A4NH.01A.11R.A27V.07	5.107983457	-0.097218466
TCGA.BC.4072.01B.11R.A155.07	5.105398249	-0.121176781
TCGA.DD.AAW3.01A.11R.A41C.07	5.102910134	-0.101569466
TCGA.DD.AADR.01A.11R.A41C.07	5.10167278	-0.134550993
TCGA.DD.A4NL.01A.11R.A28V.07	5.100858404	-0.333910501
TCGA.HP.A5MZ.01A.21R.A27V.07	5.098017337	-0.357285589
TCGA.CC.A3MA.01A.11R.A213.07	5.095344613	0.015742326
TCGA.DD.AACH.01A.11R.A41C.07	5.095176084	0.163824318
TCGA.BC.A10Z.01A.11R.A131.07	5.094563335	0.03378375
TCGA.BC.A10U.01A.11R.A131.07	5.093924996	-0.134260699
TCGA.DD.AADU.01A.11R.A41C.07	5.087375705	-0.245517678
TCGA.XR.A8TD.01A.12R.A39D.07	5.086572451	-0.1246585
TCGA.ED.A82E.01A.11R.A352.07	5.085184956	-0.157984692
TCGA.K7.A5RG.01A.11R.A28V.07	5.078889425	-0.118930285
TCGA.DD.AACQ.01A.11R.A41C.07	5.07762184	-0.136302716
TCGA.ED.A8O5.01A.11R.A36F.07	5.076437529	-0.018125924
TCGA.DD.A1EE.01A.11R.A131.07	5.075579706	0.046082142
TCGA.5C.A9VH.01A.11R.A37K.07	5.075575041	-0.198385314
TCGA.2Y.A9GV.01A.11R.A38B.07	5.074918045	-0.305847477
TCGA.DD.A4NI.01A.11R.A27V.07	5.072284277	-0.328465111
TCGA.DD.AAEH.01A.11R.A41C.07	5.069925039	-0.26273721
TCGA.DD.A4NN.01A.11R.A28V.07	5.06960114	0.006686996
TCGA.EP.A2KC.01A.11R.A213.07	5.068903572	-0.14559665
TCGA.G3.AAV4.01A.11R.A38B.07	5.068861188	-0.051948031
TCGA.BW.A5NP.01A.11R.A27V.07	5.068247781	-0.001704077
TCGA.DD.AAC8.01A.11R.A41C.07	5.066628632	-0.049943132
TCGA.CC.A3MB.01A.11R.A213.07	5.059037565	0.184387133
TCGA.DD.A1EC.01A.21R.A131.07	5.052242559	-0.0794128
TCGA.ZS.A9CD.01A.11R.A37K.07	5.051695599	-0.31660725
TCGA.G3.A5SK.01A.11R.A27V.07	5.051519756	-0.325486384
TCGA.CC.A1HT.01A.11R.A131.07	5.051487925	0.023068816
TCGA.K7.A6G5.01A.11R.A311.07	5.043560781	-0.268377944
TCGA.DD.AACT.01A.11R.A41C.07	5.043310764	-0.208084768
TCGA.MR.A520.01A.11R.A266.07	5.043119625	-0.331001492
TCGA.DD.AAW2.01A.11R.A41C.07	5.029764761	-0.063197756
TCGA.BC.4073.01B.02R.A131.07	5.029749089	-0.057102836
