pathway	NOP2	DNA_METHYLATION
TCGA.UB.A7MB.01A.11R.A33R.07	5.284752496	0.206324017
TCGA.DD.A4NR.01A.11R.A311.07	5.284285308	-0.149145738
TCGA.DD.AAW0.01A.11R.A41C.07	5.281223639	-0.224678968
TCGA.BC.A10X.01A.11R.A131.07	5.276743738	-0.157966691
TCGA.UB.A7ME.01A.11R.A33J.07	5.275954222	-0.064556402
TCGA.DD.AADF.01A.11R.A41C.07	5.275252479	-0.299797631
TCGA.DD.AACL.01A.11R.A41C.07	5.275124041	-0.049219747
TCGA.G3.A7M5.01A.11R.A33R.07	5.271495376	-0.164224865
TCGA.DD.AACU.01A.11R.A41C.07	5.268457725	-0.070083646
TCGA.ZP.A9D0.01A.11R.A37K.07	5.266168806	-0.216998033
TCGA.ZP.A9D1.01A.11R.A38B.07	5.260201009	-0.208447293
TCGA.DD.A4NK.01A.11R.A28V.07	5.259762445	-0.165801323
TCGA.DD.AADD.01A.11R.A41C.07	5.251152147	0.098821771
TCGA.XR.A8TE.01A.11R.A36F.07	5.246106894	-0.060149224
TCGA.CC.A7IH.01A.11R.A33J.07	5.245108811	-0.109167258
TCGA.DD.A4NS.01A.11R.A311.07	5.232564801	-0.075825658
TCGA.RC.A7SK.01A.11R.A352.07	5.232466804	-0.300944257
TCGA.DD.A4NV.01A.11R.A311.07	5.220750945	-0.31652925
TCGA.UB.AA0V.01A.11R.A38B.07	5.220608022	-0.315327299
TCGA.DD.A11A.01A.11R.A131.07	5.217994848	-0.218459892
TCGA.DD.A73A.01A.12R.A32O.07	5.217078044	-0.356558353
TCGA.CC.A8HU.01A.11R.A36F.07	5.215485063	-0.137511319
TCGA.DD.AAVX.01A.11R.A41C.07	5.208923459	-0.25795032
TCGA.DD.AACV.01A.11R.A41C.07	5.208508947	0.079101885
TCGA.2Y.A9GZ.01A.11R.A39D.07	5.19874774	-0.033452567
TCGA.G3.A5SL.01A.11R.A27V.07	5.198221801	-0.177886503
TCGA.DD.AADP.01A.11R.A39D.07	5.196999876	-0.0394458
TCGA.ED.A7XP.01A.11R.A352.07	5.194337104	-0.188440653
TCGA.DD.A4NO.01A.11R.A28V.07	5.190586585	-0.327289843
TCGA.CC.A9FV.01A.11R.A37K.07	5.187959732	-0.139134289
TCGA.DD.AAD0.01A.11R.A41C.07	5.186980009	-0.015599808
TCGA.2Y.A9H5.01A.11R.A38B.07	5.186785581	-0.131863863
TCGA.FV.A3I0.01A.11R.A22L.07	5.186668372	-0.162537458
TCGA.DD.A4NJ.01A.11R.A27V.07	5.18145544	-0.07449158
TCGA.MR.A8JO.01A.12R.A36F.07	5.180991439	-0.357539252
TCGA.G3.A3CH.01A.11R.A22L.07	5.17604814	-0.079564535
TCGA.2Y.A9HA.01A.11R.A39D.07	5.175535878	-0.167346704
TCGA.ED.A66X.01A.11R.A311.07	5.172974556	-0.067784188
TCGA.ED.A7PY.01A.11R.A33R.07	5.168559381	-0.190359715
TCGA.CC.5264.01A.01R.A131.07	5.162466254	0.278398389
TCGA.RC.A7SF.01A.11R.A352.07	5.161029445	-0.303307871
TCGA.G3.A25Y.01A.11R.A16W.07	5.158650567	-0.15614257
TCGA.DD.A1EF.01A.11R.A131.07	5.151843569	0.087313155
TCGA.3K.AAZ8.01A.12R.A39D.07	5.150321021	-0.176083225
TCGA.LG.A9QD.01A.11R.A38B.07	5.145254333	-0.43075078
TCGA.ZS.A9CF.01A.11R.A38B.07	5.139801811	-0.069346737
TCGA.WJ.A86L.01A.12R.A39D.07	5.138812779	-0.201314288
TCGA.ED.A459.01A.11R.A266.07	5.134220228	0.005287345
TCGA.DD.AADK.01A.11R.A41C.07	5.133165638	-0.397806598
TCGA.DD.AAVS.01A.11R.A41C.07	5.127049709	-0.137962752
TCGA.DD.AADG.01A.11R.A41C.07	5.125733548	-0.239314109
TCGA.DD.A114.01A.11R.A131.07	5.125169156	0.056693466
TCGA.BC.A3KG.01A.11R.A213.07	5.123562539	0.038907021
TCGA.2Y.A9GS.01A.12R.A38B.07	5.123035505	0.080335533
TCGA.ZP.A9CY.01A.11R.A38B.07	5.113975049	-0.369408493
TCGA.DD.AADQ.01A.11R.A41C.07	5.110910681	-0.269302555
TCGA.DD.A73B.01A.12R.A32O.07	5.108172833	-0.019765592
TCGA.DD.A4NH.01A.11R.A27V.07	5.107983457	-0.021558819
TCGA.BC.4072.01B.11R.A155.07	5.105398249	-0.251324649
TCGA.DD.AAW3.01A.11R.A41C.07	5.102910134	-0.202211001
TCGA.DD.AADR.01A.11R.A41C.07	5.10167278	-0.330097034
TCGA.DD.A4NL.01A.11R.A28V.07	5.100858404	-0.398245988
TCGA.HP.A5MZ.01A.21R.A27V.07	5.098017337	-0.413164111
TCGA.CC.A3MA.01A.11R.A213.07	5.095344613	0.156980702
TCGA.DD.AACH.01A.11R.A41C.07	5.095176084	0.008900788
TCGA.BC.A10Z.01A.11R.A131.07	5.094563335	-0.189275301
TCGA.BC.A10U.01A.11R.A131.07	5.093924996	-0.209649643
TCGA.DD.AADU.01A.11R.A41C.07	5.087375705	-0.17742603
TCGA.XR.A8TD.01A.12R.A39D.07	5.086572451	-0.247179987
TCGA.ED.A82E.01A.11R.A352.07	5.085184956	-0.15049109
TCGA.K7.A5RG.01A.11R.A28V.07	5.078889425	0.129759718
TCGA.DD.AACQ.01A.11R.A41C.07	5.07762184	0.015609865
TCGA.ED.A8O5.01A.11R.A36F.07	5.076437529	-0.064187662
TCGA.DD.A1EE.01A.11R.A131.07	5.075579706	0.065271484
TCGA.5C.A9VH.01A.11R.A37K.07	5.075575041	-0.359575488
TCGA.2Y.A9GV.01A.11R.A38B.07	5.074918045	-0.330605864
TCGA.DD.A4NI.01A.11R.A27V.07	5.072284277	-0.452736826
TCGA.DD.AAEH.01A.11R.A41C.07	5.069925039	-0.359226188
TCGA.DD.A4NN.01A.11R.A28V.07	5.06960114	-0.062290555
TCGA.EP.A2KC.01A.11R.A213.07	5.068903572	-0.25102912
TCGA.G3.AAV4.01A.11R.A38B.07	5.068861188	-0.180795406
TCGA.BW.A5NP.01A.11R.A27V.07	5.068247781	-0.152015167
TCGA.DD.AAC8.01A.11R.A41C.07	5.066628632	-0.170641215
TCGA.CC.A3MB.01A.11R.A213.07	5.059037565	-0.061889089
TCGA.DD.A1EC.01A.21R.A131.07	5.052242559	-0.224042673
TCGA.ZS.A9CD.01A.11R.A37K.07	5.051695599	-0.420477981
TCGA.G3.A5SK.01A.11R.A27V.07	5.051519756	-0.380401858
TCGA.CC.A1HT.01A.11R.A131.07	5.051487925	-0.078337498
TCGA.K7.A6G5.01A.11R.A311.07	5.043560781	-0.413674245
TCGA.DD.AACT.01A.11R.A41C.07	5.043310764	-0.320377085
