ID	Log2FoldChange	pvalue
daidzein	-1.187953171	0.000423497
dehydroascorbate	1.007973703	0.007159392
deoxycarnitine	1.095384911	0.000608524
dihomo-linoleate 	1.013969423	5.90078E-05
dihomo-linolenate 	0.88654837	0.001705448
dihydrobiopterin	1.152593544	0.020868613
dihydroxyacetone-phosphate 	-1.024910329	0.266877266
dimethylarginine 	1.163620822	0.000919212
dimethylglycine	-1.8990358	4.27038E-05
docosahexaenoate 	-0.312196973	0.164844786
docosapentaenoate 	-1.902288568	0.003112604
docosatrienoate 	1.872110879	0.00027307
eicosapentaenoate 	-1.532101585	0.000167714
eicosenoate 	0.761613653	0.000592381
ergothioneine	-1.028595608	0.095818347
erythritol	-0.578242338	0.002480011
erythronate	0.748780541	0.000201925
erythrose	-1.182641367	0.000977816
ethanolamine	1.27906786	0.001137933
ethyl-palmitate	0.258470638	0.193122494
flavin-adenine-dinucleotide 	-1.797729451	4.04694E-06
fructose	-1.537712037	2.3913E-05
fructose-6-phosphate	2.247329868	0.021744359
fucose	0.428824743	0.216972923
fumarate	0.174082949	0.411953844
gamma-aminobutyrate	-1.253241049	0.00065265
gamma-glutamylalanine	0.818693254	0.174101408
gamma-glutamylglutamate	-2.090857524	3.53823E-07
gamma-glutamylglutamine	1.833057546	0.030338012
gamma-glutamylisoleucine	1.35976586	7.41385E-06
gamma-glutamylleucine	1.355497239	0.021587863
gamma-glutamylmethionine	0.401464658	0.126362109
gamma-glutamylphenylalanine	2.006306423	0.027761612
gamma-glutamylthreonine	0.642161912	0.258630905
gamma-glutamyltryptophan	-0.973619997	0.009196677
gamma-glutamyltyrosine	1.708801418	0.030982242
gamma-glutamylvaline	0.285386621	0.290047454
gluconate	0.829338318	0.052370985
glucose	-2.398940629	4.58693E-09
glucose-6-phosphate 	2.777487172	0.000385117
glucuronate	-1.468842073	0.002281129
glutamate	2.617324933	5.92237E-08
glutamine	-0.705783122	0.003025249
glutarate 	-1.829257424	4.91857E-08
glutaroyl-carnitine	-2.927706257	1.75035E-06
glutathione-oxidized 	-8.643745946	9.79347E-12
glutathione-reduced 	-1.900327346	0.000428604
glycerate	-1.126841545	0.002720115
glycerol	-0.332499381	0.014788489
glycerol-2-phosphate	0.579567632	0.073919332
glycerol-3-phosphate 	1.79189935	0.002461495
glycerophosphorylcholine 	0.170520734	0.428589893
glycine	1.675072198	2.14336E-08
glycolate 	0.102885453	0.718011459
glycylisoleucine	1.120770857	0.016602934
glycylleucine	1.298458323	0.011234512
glycylproline	-0.909566137	0.121792139
glycylvaline	0.654064259	0.021224165
guanosine	2.741223815	0.011980688
guanosine-5'-monophosphate 	2.330930692	5.51307E-05
gulono-1,4-lactone	-0.732948625	9.16039E-05
heme	2.632326933	0.252977899
hippurate	-0.571396229	0.189693809
histidine	0.290623051	0.062937059
homocitrulline	0.636077481	0.022587339
homoserine	0.435232841	0.192487302
hydroxyisovaleroyl-carnitine	0.659823316	0.008379681
hypotaurine	0.420461557	0.466478021
hypoxanthine	0.404278377	0.004333791
imidazole-lactate	0	1
inosine	0.021121938	0.889985442
inositol-1-phosphate 	-0.345924513	0.005433855
fructose-1,6-diphosphate-glucose-1,6-diphosphate	2.512386974	0.000383048
ribulose-5-phosphate-xylulose-5-phosphate	1.089263518	0.016119118
isobutyrylcarnitine	0.133584322	0.477900514
isoleucine	0.631297661	2.38274E-05
isovalerylcarnitine	1.102116926	0.004168878
isovalerylglycine	0.050902305	0.902952734
kynurenine	-2.173019677	0.00016658
lactate	0.143015201	0.292295505
laurylcarnitine	0.622845594	0.106383028
leucine	0.60089072	5.98141E-05
linoleate	-0.096677604	0.562339768
linolenate	0.013444307	0.959356142
lysine	0.203887184	0.072956493
malate	0.809303647	0.000311112
malonylcarnitine	-0.885755784	0.011854437
maltohexaose	-0.549685802	0.560984317
maltopentaose	-1.373633245	0.216141132
maltose	-3.544816167	8.88734E-06
maltose	-3.677879885	1.53759E-05
maltotetraose	-2.386524816	0.078498073
maltotriose	-2.792263473	0.036612292
mannitol	0.614221719	0.217276427
mannose	-1.106143341	0.000247815
mannose-6-phosphate	3.935741437	0.000266397
margarate	-0.38151648	0.037498198
methionine	0.94279025	0.000115827
methylglutaroylcarnitine	-0.146440103	0.824650028
methylphosphate	-0.346100011	0.01573355
myo-inositol	1.012532005	1.51637E-06
myristate 	0.20044283	0.16625159
myristoleate 	-0.053301639	0.866294308
N-acetylalanine	1.01515714	5.2729E-06
N-acetylasparagine	-1.636274121	3.691E-09
N-acetylglucosamine-6-phosphate	2.288149506	0.000897559
N-acetylglutamate	-1.181212307	0.012129543
N-acetylglutamine	-3.472982571	1.24356E-06
N-acetylglycine	0.338240466	0.169634328
N-acetylmethionine	1.021660435	0.024348923
N-acetylornithine	-0.138170883	0.694510331
N-acetylserine	1.46661569	1.13161E-08
N-acetylthreonine	0.9789216	0.002361623
n-Butyl-Oleate	-0.276860006	0.051377121
N-glycolylneuraminate	-0.768296512	0.000421572
N1-methyladenosine	2.595518541	2.3676E-09
N2-acetyllysine	-1.405888349	0.000688502
N6-acetyllysine	0.472437086	0.012315783
nicotinamide	-1.563718874	2.19131E-08
nicotinamide-adenine-dinucleotide	-2.416192258	5.17691E-06
nonadecanoate 	-0.257535614	0.243776506
oleate 	0.236572547	0.150901041
oleoylcarnitine	-0.329790224	0.53056231
ophthalmate	-4.277339911	0.000314798
ornithine	0.22722591	0.177059489
orotate	0.129702856	0.67549414
oxamate	1.206438681	9.83777E-06
p-cresol-sulfate	0.021479714	0.7900349
palmitate 	-0.356813204	0.012955888
palmitoleate 	-0.208124844	0.455656709
palmitoyl-sphingomyelin	2.524002663	7.89442E-06
palmitoylcarnitine	2.56821962	0.000465095
pantothenate	0.582681389	0.001701602
pentadecanoate 	-0.32972666	0.136465753
phenol-sulfate	-0.916653165	0.066518696
phenylacetylglycine	-0.406012219	0.056270337
phenylalanine	0.632429351	4.20169E-05
phosphate	-0.1568551	0.001286977
phosphoenolpyruvate 	-1.089407337	0.019880486
phosphoethanolamine	2.870709091	0.003383534
phosphoglycolate	0.5373077	0.040270688
pipecolate	-0.067955094	0.654627396
pro-hydroxy-pro	-0.272731098	0.568896938
proline	0.966262647	2.30641E-06
