ID	Log2FoldChange	pvalue
dihomo-linoleate 	0.014136453	0.949342503
dihomo-linolenate 	0.573259027	0.042793077
dihydrobiopterin	1.792554567	0.001720928
dihydroxyacetone-phosphate 	-0.765986262	0.446682515
dimethylarginine 	0.912320589	0.006413641
dimethylglycine	-0.135736409	0.661439221
docosahexaenoate 	-0.001864223	0.99574085
docosapentaenoate 	-1.749240676	0.007552333
docosatrienoate 	1.328975379	0.003858371
eicosapentaenoate 	-0.018645886	0.957647752
eicosenoate 	0.08590542	0.658133032
ergothioneine	1.013699199	0.061527715
erythritol	-1.650509321	0.177171043
erythronate	-2.009447476	0.174670925
erythrose	0.531679091	0.186979272
ethanolamine	1.595562825	0.000363421
ethyl-palmitate	1.030043887	0.000155129
flavin-adenine-dinucleotide 	0.164815937	0.426769463
fructose	0.81940399	0.01366988
fructose-6-phosphate	-0.028219825	0.956278639
fucose	-0.525277493	0.165270284
fumarate	0.640186284	0.008900412
gamma-aminobutyrate	0.378218894	0.497912643
gamma-glutamylalanine	0.818693254	0.174101408
gamma-glutamylglutamate	-0.707691249	0.081394624
gamma-glutamylglutamine	1.833057546	0.030338012
gamma-glutamylisoleucine	0.919769817	0.000879249
gamma-glutamylleucine	0.44049071	0.296853135
gamma-glutamylmethionine	0.401464658	0.126362109
gamma-glutamylphenylalanine	1.382127935	0.069133279
gamma-glutamylthreonine	0.795365317	0.188019858
gamma-glutamyltryptophan	0.960710726	0.068515018
gamma-glutamyltyrosine	1.659626752	0.032878934
gamma-glutamylvaline	-0.116969629	0.700161255
gluconate	2.364252111	0.001792105
glucose	0.296477045	0.512400215
glucose-6-phosphate 	0.278560513	0.478035597
glucuronate	-0.050507847	0.849155972
glutamate	1.918160813	8.57001E-07
glutamine	0.438680038	0.174602913
glutarate	-0.062489444	0.827981436
glutaroyl-carnitine	-0.66239899	0.237932674
glutathione-oxidized	-8.332016583	9.1119E-06
glutathione-reduced	-2.665011465	0.041690906
glycerate	0.334865083	0.247449842
glycerol	0.905697111	9.87428E-05
glycerol-2-phosphate	0.594864315	0.112712117
glycerol-3-phosphate 	1.052289928	0.03037763
glycerophosphorylcholine	-0.28642743	0.463950029
glycine	2.08311263	1.09572E-08
glycolate 	0.616330872	0.085864615
glycylisoleucine	1.535275375	0.002393144
glycylleucine	2.390336056	0.001542705
